brand,num_products,avg_price,avg_rating,avg_actives
ALGENIST,3,71.66666666666667,3.766666666666667,5.666666666666667
BAREMINERALS,2,35.0,3.85,5.0
BELIF,2,53.0,4.449999999999999,7.0
CAUDALIE,2,50.5,3.85,5.0
CLARINS,3,53.333333333333336,3.6,3.3333333333333335
CLINIQUE,4,29.0,3.925,5.5
DR. BRANDT SKINCARE,2,48.5,3.65,6.0
DR. DENNIS GROSS SKINCARE,4,62.75,3.65,9.0
DRUNK ELEPHANT,2,62.0,1.95,9.5
ERNO LASZLO,2,41.5,4.75,6.0
ESTÉE LAUDER,4,59.25,3.7,7.5
FIRST AID BEAUTY,6,32.0,3.8000000000000003,5.666666666666667
FRESH,2,58.0,3.9,7.5
KATE SOMERVILLE,2,49.0,3.45,4.0
KIEHL'S SINCE 1851,7,36.0,3.6571428571428575,4.142857142857143
KORRES,2,60.5,4.1,7.0
LANCÔME,5,63.0,3.8,6.0
LANEIGE,2,35.0,4.1,4.0
OLEHENRIKSEN,2,40.0,4.05,3.5
ORIGINS,2,36.5,4.0,9.5
PERRICONE MD,5,61.8,3.9200000000000004,3.8
PETER THOMAS ROTH,5,59.0,4.12,9.6
PHILOSOPHY,5,58.8,3.6,6.6
SHISEIDO,5,61.2,3.28,4.4
TARTE,2,30.0,4.1,7.0
WANDER BEAUTY,2,25.0,4.449999999999999,10.0
