brand,num_products,avg_price,avg_rating,avg_actives
ALGENIST,3,71.66666666666667,3.766666666666667,5.666666666666667
AMOREPACIFIC,2,90.0,4.1,6.5
BAREMINERALS,2,35.0,3.85,5.0
BELIF,2,53.0,4.449999999999999,7.0
CAUDALIE,3,66.66666666666667,3.6666666666666665,3.3333333333333335
CLARINS,4,61.25,3.75,3.75
CLINIQUE,4,29.0,3.925,5.5
DIOR,2,63.5,4.15,0.5
DR. BRANDT SKINCARE,3,59.666666666666664,3.8333333333333335,7.333333333333333
DR. DENNIS GROSS SKINCARE,4,62.75,3.65,9.0
DRUNK ELEPHANT,2,62.0,1.95,9.5
ERNO LASZLO,2,41.5,4.75,6.0
ESTÉE LAUDER,4,59.25,3.7,7.5
FIRST AID BEAUTY,6,32.0,3.8000000000000003,5.666666666666667
FRESH,2,58.0,3.9,7.5
KATE SOMERVILLE,4,77.0,3.4,5.25
KIEHL'S SINCE 1851,7,36.0,3.6571428571428575,4.142857142857143
KORRES,2,60.5,4.1,7.0
LANCÔME,5,63.0,3.8,6.0
LANEIGE,2,35.0,4.1,4.0
MURAD,2,76.5,4.2,7.0
OLEHENRIKSEN,2,40.0,4.05,3.5
ORIGINS,2,36.5,4.0,9.5
PERRICONE MD,6,69.83333333333333,3.9333333333333336,4.333333333333333
PETER THOMAS ROTH,5,59.0,4.12,9.6
PHILOSOPHY,5,58.8,3.6,6.6
SHISEIDO,6,76.0,3.3833333333333333,4.5
TARTE,2,30.0,4.1,7.0
TATA HARPER,2,101.5,3.5,6.5
WANDER BEAUTY,2,25.0,4.449999999999999,10.0
