brand,num_products,avg_price,avg_rating,avg_actives
BAREMINERALS,2,35.0,3.85,5.0
CLARINS,2,47.5,3.7,2.0
CLINIQUE,4,29.0,3.925,5.5
DR. BRANDT SKINCARE,2,48.5,3.65,6.0
ERNO LASZLO,2,41.5,4.75,6.0
FIRST AID BEAUTY,6,32.0,3.8000000000000003,5.666666666666667
KATE SOMERVILLE,2,49.0,3.45,4.0
KIEHL'S SINCE 1851,7,36.0,3.6571428571428575,4.142857142857143
LANEIGE,2,35.0,4.1,4.0
OLEHENRIKSEN,2,40.0,4.05,3.5
ORIGINS,2,36.5,4.0,9.5
PERRICONE MD,2,45.0,3.7,3.0
PETER THOMAS ROTH,3,51.666666666666664,4.066666666666666,11.666666666666666
SHISEIDO,2,51.0,2.15,4.0
TARTE,2,30.0,4.1,7.0
WANDER BEAUTY,2,25.0,4.449999999999999,10.0
