brand,num_products,avg_price,avg_rating,avg_actives
ALGENIST,3,71.66666666666667,3.766666666666667,5.666666666666667
AMOREPACIFIC,2,90.0,4.1,6.5
CAUDALIE,3,66.66666666666667,3.6666666666666665,3.3333333333333335
CLARINS,4,61.25,3.75,3.75
CLINIQUE,4,29.0,3.925,5.5
DR. DENNIS GROSS SKINCARE,4,62.75,3.65,9.0
DRUNK ELEPHANT,2,62.0,1.95,9.5
FIRST AID BEAUTY,6,32.0,3.8000000000000003,5.666666666666667
KIEHL'S SINCE 1851,6,34.666666666666664,3.75,4.333333333333333
KORRES,2,60.5,4.1,7.0
LANCÔME,5,63.0,3.8,6.0
LANEIGE,2,35.0,4.1,4.0
MURAD,2,76.5,4.2,7.0
OLEHENRIKSEN,2,40.0,4.05,3.5
ORIGINS,2,36.5,4.0,9.5
PERRICONE MD,5,61.8,3.9200000000000004,3.8
PETER THOMAS ROTH,4,55.0,4.15,10.75
PHILOSOPHY,5,58.8,3.6,6.6
SHISEIDO,4,60.25,3.0,3.75
TARTE,2,30.0,4.1,7.0
