brand,num_products,avg_price,avg_rating,avg_actives
AMOREPACIFIC,2,115.0,4.65,6.0
BLITHE,2,45.0,4.4,6.0
BOSCIA,9,24.88888888888889,4.044444444444444,6.333333333333333
CAUDALIE,2,39.0,4.35,5.5
CLARINS,3,56.666666666666664,4.533333333333334,4.0
DIOR,4,70.5,4.225,1.25
DR ROEBUCK’S,2,28.0,4.35,7.0
DR. BRANDT SKINCARE,4,59.75,4.3,6.25
DR. JART+,27,14.25925925925926,4.122222222222222,4.962962962962963
ERNO LASZLO,2,88.0,4.25,4.0
EVE LOM,4,106.25,2.6,6.0
FARMACY,4,26.5,4.475,7.25
FIRST AID BEAUTY,4,31.0,4.275,5.75
FOREO,6,15.666666666666666,3.0833333333333335,1.0
FRESH,4,82.25,4.025,6.25
GLAMGLOW,5,67.6,3.46,7.6
GLOW RECIPE,2,15.0,3.6500000000000004,4.0
KIEHL'S SINCE 1851,4,44.25,4.25,5.5
KORRES,2,40.0,4.4,7.5
LANCER,2,130.0,3.95,7.0
LANCÔME,4,34.25,4.55,2.75
LANEIGE,4,19.0,4.475,3.25
MURAD,2,38.0,4.199999999999999,5.0
OLEHENRIKSEN,2,34.0,4.4,11.0
OMOROVICZA,3,123.33333333333333,4.6000000000000005,4.0
ORIGINS,15,22.8,4.113333333333333,5.733333333333333
PERRICONE MD,2,59.5,4.35,4.5
PETER THOMAS ROTH,8,63.5,4.2125,5.875
PHILOSOPHY,2,36.0,4.65,2.0
SATURDAY SKIN,2,6.0,4.449999999999999,4.0
SEPHORA COLLECTION,21,8.428571428571429,4.314285714285714,4.904761904761905
SK-II,3,136.66666666666666,4.233333333333333,1.6666666666666667
SKIN INC SUPPLEMENT BAR,2,70.0,4.15,3.5
SKIN LAUNDRY,3,55.333333333333336,3.7000000000000006,3.3333333333333335
SUMMER FRIDAYS,2,46.0,4.3,4.5
TATA HARPER,3,66.0,4.2,3.6666666666666665
TATCHA,3,58.333333333333336,4.3,2.6666666666666665
TOO COOL FOR SCHOOL,6,11.666666666666666,4.1000000000000005,4.166666666666667
