brand,num_products,avg_price,avg_rating,avg_actives
BOSCIA,8,23.25,4.125,6.25
CLARINS,2,68.0,4.9,4.5
DIOR,2,72.0,4.0,0.5
DR ROEBUCK’S,2,28.0,4.35,7.0
DR. BRANDT SKINCARE,4,59.75,4.3,6.25
DR. JART+,25,14.68,4.1080000000000005,4.88
FARMACY,4,26.5,4.475,7.25
FIRST AID BEAUTY,4,31.0,4.275,5.75
FOREO,6,15.666666666666666,3.0833333333333335,1.0
GLAMGLOW,4,42.25,4.325,5.5
GLOW RECIPE,2,15.0,3.6500000000000004,4.0
KIEHL'S SINCE 1851,4,44.25,4.25,5.5
KORRES,2,40.0,4.4,7.5
LANCÔME,4,34.25,4.55,2.75
LANEIGE,4,19.0,4.475,3.25
MURAD,2,38.0,4.199999999999999,5.0
OLEHENRIKSEN,2,34.0,4.4,11.0
ORIGINS,15,22.8,4.113333333333333,5.733333333333333
PETER THOMAS ROTH,8,63.5,4.2125,5.875
PHILOSOPHY,2,36.0,4.65,2.0
SATURDAY SKIN,2,6.0,4.449999999999999,4.0
SEPHORA COLLECTION,21,8.428571428571429,4.314285714285714,4.904761904761905
SKIN INC SUPPLEMENT BAR,2,70.0,4.15,3.5
SKIN LAUNDRY,3,55.333333333333336,3.7000000000000006,3.3333333333333335
SUMMER FRIDAYS,2,46.0,4.3,4.5
TATA HARPER,3,66.0,4.2,3.6666666666666665
TOO COOL FOR SCHOOL,4,10.0,4.025,3.25
