brand,num_products,avg_price,avg_rating,avg_actives
BELIF,2,36.0,4.35,6.0
BOSCIA,9,24.88888888888889,4.044444444444444,6.333333333333333
CAUDALIE,2,39.0,4.35,5.5
DR ROEBUCK’S,2,28.0,4.35,7.0
DR. JART+,25,11.56,4.104,4.96
FARMACY,3,16.666666666666668,4.533333333333333,8.333333333333334
FIRST AID BEAUTY,4,31.0,4.275,5.75
FOREO,6,15.666666666666666,3.0833333333333335,1.0
KIEHL'S SINCE 1851,2,39.0,4.3,6.0
LANCÔME,3,29.666666666666668,4.533333333333333,3.6666666666666665
LANEIGE,4,19.0,4.475,3.25
OLEHENRIKSEN,2,34.0,4.4,11.0
ORIGINS,7,14.714285714285714,4.128571428571428,4.714285714285714
PHILOSOPHY,2,36.0,4.65,2.0
SATURDAY SKIN,2,6.0,4.449999999999999,4.0
SEPHORA COLLECTION,16,7.5625,4.40625,4.5625
TOO COOL FOR SCHOOL,5,12.8,4.18,4.2
