brand,num_products,avg_price,avg_rating,avg_actives
BELIF,2,36.0,4.6,8.0
CAUDALIE,4,26.5,4.3,4.0
CLINIQUE,6,35.333333333333336,4.333333333333333,5.5
FIRST AID BEAUTY,7,32.857142857142854,4.228571428571429,5.571428571428571
HERBIVORE,2,35.5,4.15,2.0
IT COSMETICS,4,38.0,4.1,14.0
JOSIE MARAN,3,34.666666666666664,4.033333333333333,3.6666666666666665
KIEHL'S SINCE 1851,4,30.5,4.225,5.25
LANEIGE,4,33.5,4.5,5.75
MURAD,2,40.0,4.25,9.5
OLEHENRIKSEN,2,36.0,4.25,5.5
ORIGINS,4,34.25,4.325,8.0
PHILOSOPHY,2,39.0,4.05,2.0
TARTE,2,38.0,4.35,3.0
