brand,num_products,avg_price,avg_rating,avg_actives
AMOREPACIFIC,2,55.0,4.2,3.0
BIOSSANCE,5,54.0,4.5,4.2
CAUDALIE,7,44.0,4.242857142857143,4.285714285714286
CLINIQUE,3,35.333333333333336,4.133333333333334,6.333333333333333
DR. DENNIS GROSS SKINCARE,3,69.0,4.166666666666667,9.333333333333334
DR. JART+,5,44.0,4.26,5.2
ERBORIAN,2,41.5,4.25,2.5
FARMACY,4,46.25,4.375,5.0
FIRST AID BEAUTY,7,32.857142857142854,4.228571428571429,5.571428571428571
GLOW RECIPE,2,42.0,4.1,3.0
GUERLAIN,2,41.5,4.25,0.0
HERBIVORE,5,48.2,4.3,4.2
IT COSMETICS,5,46.0,4.119999999999999,14.4
JOSIE MARAN,6,38.0,4.25,3.0
KIEHL'S SINCE 1851,6,36.0,4.333333333333333,4.833333333333333
KORRES,2,51.0,4.4,6.0
LANCÔME,2,51.5,4.4,1.5
LANEIGE,5,33.8,4.4799999999999995,6.8
MURAD,2,61.5,4.3,7.5
OLEHENRIKSEN,5,45.0,4.34,6.2
ORIGINS,5,45.6,4.28,7.8
PHILOSOPHY,4,46.75,4.2,2.75
SATURDAY SKIN,2,44.0,4.6,3.5
SMASHBOX,2,37.0,4.0,5.5
SUNDAY RILEY,4,70.5,4.225,5.5
TATCHA,3,54.666666666666664,4.233333333333333,3.6666666666666665
YOUTH TO THE PEOPLE,3,50.0,4.6000000000000005,7.666666666666667
