brand,num_products,avg_price,avg_rating,avg_actives
CLINIQUE,4,25.25,3.925,2.0
COOLA,13,35.38461538461539,4.315384615384615,2.8461538461538463
DRUNK ELEPHANT,2,35.0,3.45,5.0
FIRST AID BEAUTY,2,32.0,3.8499999999999996,8.0
KORRES,2,30.5,4.25,6.0
MDSOLARSCIENCES,4,26.75,4.225,2.25
MOROCCANOIL,5,32.4,3.5800000000000005,3.6
PETER THOMAS ROTH,2,34.0,4.0,3.0
SHISEIDO,4,32.0,4.275,1.75
SUPERGOOP!,12,29.416666666666668,4.1499999999999995,3.9166666666666665
TARTE,3,32.0,3.966666666666667,4.333333333333333
