brand,num_products,avg_price,avg_rating,avg_actives
AMOREPACIFIC,2,48.5,3.65,1.5
CLINIQUE,4,25.25,3.925,2.0
COOLA,13,35.53846153846154,4.3076923076923075,3.0
DRUNK ELEPHANT,2,35.0,3.45,5.0
FIRST AID BEAUTY,2,32.0,3.8499999999999996,8.0
KIEHL'S SINCE 1851,4,51.0,3.825,2.5
KORRES,2,30.5,4.25,6.0
MDSOLARSCIENCES,3,44.666666666666664,4.066666666666666,6.333333333333333
MOROCCANOIL,4,32.5,3.25,3.75
PETER THOMAS ROTH,2,34.0,4.0,3.0
PHILOSOPHY,2,57.0,3.9,6.5
SHISEIDO,5,32.4,4.32,1.8
SUPERGOOP!,10,29.4,4.15,4.0
TARTE,3,32.0,3.966666666666667,4.333333333333333
