brand,num_products,avg_price,avg_rating,avg_actives
AMOREPACIFIC,4,90.5,3.825,2.0
CLINIQUE,4,25.25,3.925,2.0
COOLA,16,35.875,4.3,2.8125
DRUNK ELEPHANT,2,35.0,3.45,5.0
FIRST AID BEAUTY,2,32.0,3.8499999999999996,8.0
ILIA,2,38.0,3.6500000000000004,4.5
KIEHL'S SINCE 1851,5,57.6,3.7600000000000002,2.8
KORRES,2,30.5,4.25,6.0
MDSOLARSCIENCES,5,36.4,4.2,4.6
PETER THOMAS ROTH,2,34.0,4.0,3.0
PHILOSOPHY,2,57.0,3.9,6.5
SHISEIDO,3,30.0,4.333333333333333,2.0
SUPERGOOP!,5,29.0,4.08,3.8
TARTE,3,32.0,3.966666666666667,4.333333333333333
