brand,num_products,avg_price,avg_rating,avg_actives
ALGENIST,7,88.71428571428571,4.271428571428571,5.714285714285714
CAUDALIE,7,70.42857142857143,4.257142857142857,3.7142857142857144
CLARINS,3,76.33333333333333,4.133333333333333,3.6666666666666665
CLINIQUE,4,46.5,3.825,5.75
DIOR,7,111.14285714285714,4.671428571428572,0.0
DR. BRANDT SKINCARE,6,75.33333333333333,3.9166666666666665,6.166666666666667
DR. DENNIS GROSS SKINCARE,7,79.0,4.414285714285714,7.0
DR. JART+,3,44.666666666666664,4.233333333333333,7.0
DRUNK ELEPHANT,5,43.8,4.2,6.6
ESTÉE LAUDER,2,86.5,4.65,8.5
FIRST AID BEAUTY,4,39.5,4.35,8.25
IT COSMETICS,3,41.333333333333336,3.8666666666666667,16.666666666666668
KATE SOMERVILLE,7,72.85714285714286,4.128571428571428,6.0
KIEHL'S SINCE 1851,4,51.75,4.025,4.0
KORRES,3,82.66666666666667,4.266666666666667,7.0
LANCÔME,3,99.66666666666667,4.433333333333334,2.3333333333333335
MOON JUICE,2,48.5,4.7,6.5
MURAD,6,70.5,4.366666666666666,7.666666666666667
OLEHENRIKSEN,5,65.8,4.26,6.8
ORIGINS,5,45.4,4.04,6.4
PEACE OUT,2,19.0,4.25,1.5
PERRICONE MD,6,94.5,4.283333333333333,4.666666666666667
PETER THOMAS ROTH,9,61.0,4.266666666666667,4.222222222222222
REN CLEAN SKINCARE,4,50.25,4.225,1.25
SHISEIDO,3,98.0,4.033333333333333,3.6666666666666665
SUNDAY RILEY,2,70.0,4.1,7.5
TATA HARPER,2,99.0,3.95,6.5
