brand,num_products,avg_price,avg_rating,avg_actives
CAUDALIE,6,45.0,4.233333333333333,3.5
CLINIQUE,2,39.5,4.0,7.5
DR. JART+,3,44.666666666666664,4.233333333333333,7.0
DRUNK ELEPHANT,2,25.5,4.1,7.5
FIRST AID BEAUTY,4,39.5,4.35,8.25
IT COSMETICS,3,41.333333333333336,3.8666666666666667,16.666666666666668
KATE SOMERVILLE,2,51.5,4.1,5.5
KIEHL'S SINCE 1851,3,48.333333333333336,4.1000000000000005,4.0
MOON JUICE,2,48.5,4.7,6.5
OLEHENRIKSEN,3,47.666666666666664,4.3,6.666666666666667
ORIGINS,4,41.75,4.075,6.5
PEACE OUT,2,19.0,4.25,1.5
PETER THOMAS ROTH,5,43.8,4.26,3.4
REN CLEAN SKINCARE,4,50.25,4.225,1.25
