Label,brand,num_products,avg_active_count,total_active
Cleanser,OLEHENRIKSEN,11,6.636363636363637,73
Cleanser,CLINIQUE,24,2.5416666666666665,61
Cleanser,MURAD,11,5.2727272727272725,58
Cleanser,GLAMGLOW,6,8.5,51
Cleanser,KIEHL'S SINCE 1851,13,3.6153846153846154,47
Cleanser,ORIGINS,9,4.555555555555555,41
Cleanser,FIRST AID BEAUTY,5,7.4,37
Cleanser,KATE SOMERVILLE,7,5.0,35
Cleanser,LA MER,6,5.666666666666667,34
Cleanser,PHILOSOPHY,6,5.5,33
Cleanser,IT COSMETICS,2,16.0,32
Cleanser,PETER THOMAS ROTH,6,5.333333333333333,32
Cleanser,BELIF,5,5.8,29
Cleanser,FRESH,9,3.2222222222222223,29
Cleanser,DRUNK ELEPHANT,6,4.666666666666667,28
Cleanser,BOSCIA,9,3.0,27
Cleanser,SHISEIDO,14,1.7857142857142858,25
Cleanser,DR. DENNIS GROSS SKINCARE,2,11.0,22
Cleanser,DR. JART+,4,4.75,19
Cleanser,SUNDAY RILEY,4,4.75,19
Cleanser,JACK BLACK,3,6.0,18
Cleanser,LANCER,3,5.666666666666667,17
Cleanser,LANEIGE,5,3.4,17
Cleanser,CAUDALIE,7,2.2857142857142856,16
Cleanser,TARTE,3,5.0,15
Cleanser,ALGENIST,3,4.666666666666667,14
Cleanser,DR. BRANDT SKINCARE,2,7.0,14
Cleanser,ERBORIAN,3,4.666666666666667,14
Cleanser,CLARINS,4,2.75,11
Cleanser,SATURDAY SKIN,2,5.5,11
Cleanser,ESTÉE LAUDER,2,5.0,10
Cleanser,FARMACY,3,3.3333333333333335,10
Cleanser,KORRES,3,3.3333333333333335,10
Cleanser,NEOGEN DERMALOGY,1,10.0,10
Cleanser,REN CLEAN SKINCARE,4,2.5,10
Cleanser,DERMADOCTOR,1,9.0,9
Cleanser,BIOSSANCE,1,8.0,8
Cleanser,INDIE LEE,2,4.0,8
Cleanser,LANCÔME,7,1.1428571428571428,8
Cleanser,SK-II,3,2.6666666666666665,8
Cleanser,PERRICONE MD,3,2.3333333333333335,7
Cleanser,YOUTH TO THE PEOPLE,1,6.0,6
Cleanser,AMOREPACIFIC,2,2.5,5
Cleanser,BOBBI BROWN,2,2.5,5
Cleanser,CHARLOTTE TILBURY,1,5.0,5
Cleanser,BAREMINERALS,1,4.0,4
Cleanser,HERBIVORE,1,4.0,4
Cleanser,KOH GEN DO,2,2.0,4
Cleanser,KOPARI,1,4.0,4
Cleanser,LAURA MERCIER,1,4.0,4
Cleanser,SEPHORA COLLECTION,19,0.21052631578947367,4
Cleanser,TOO FACED,1,4.0,4
Cleanser,BLITHE,1,3.0,3
Cleanser,ERNO LASZLO,1,3.0,3
Cleanser,GLOW RECIPE,1,3.0,3
Cleanser,L'OCCITANE,1,3.0,3
Cleanser,MAKE UP FOR EVER,1,3.0,3
Cleanser,NARS,1,3.0,3
Cleanser,TATCHA,3,1.0,3
Cleanser,VOLITION BEAUTY,1,3.0,3
Cleanser,BEAUTYBIO,1,2.0,2
Cleanser,EVE LOM,2,1.0,2
Cleanser,GO-TO,1,2.0,2
Cleanser,MILK MAKEUP,1,2.0,2
Cleanser,NUFACE,1,2.0,2
Cleanser,SKIN INC SUPPLEMENT BAR,1,2.0,2
Cleanser,CLARISONIC,1,1.0,1
Cleanser,DIOR,1,0.0,0
Cleanser,FENTY BEAUTY BY RIHANNA,1,0.0,0
Cleanser,KLORANE,1,0.0,0
Cleanser,MAKEUP ERASER,1,0.0,0
Cleanser,TATA HARPER,3,0.0,0
Eye cream,PETER THOMAS ROTH,9,9.666666666666666,87
Eye cream,PHILOSOPHY,9,6.888888888888889,62
Eye cream,CLINIQUE,9,5.666666666666667,51
Eye cream,ORIGINS,8,6.375,51
Eye cream,ESTÉE LAUDER,6,8.166666666666666,49
Eye cream,PERRICONE MD,10,4.8,48
Eye cream,DR. DENNIS GROSS SKINCARE,5,7.2,36
Eye cream,KATE SOMERVILLE,6,6.0,36
Eye cream,MURAD,4,8.75,35
Eye cream,FIRST AID BEAUTY,6,5.666666666666667,34
Eye cream,SHISEIDO,11,3.090909090909091,34
Eye cream,FRESH,6,5.5,33
Eye cream,DR. BRANDT SKINCARE,4,7.75,31
Eye cream,KIEHL'S SINCE 1851,8,3.875,31
Eye cream,LANCÔME,6,5.0,30
Eye cream,CLARINS,6,3.8333333333333335,23
Eye cream,LA MER,3,7.333333333333333,22
Eye cream,ALGENIST,4,5.25,21
Eye cream,AMOREPACIFIC,3,7.0,21
Eye cream,WANDER BEAUTY,2,10.0,20
Eye cream,DERMADOCTOR,3,6.333333333333333,19
Eye cream,DRUNK ELEPHANT,2,9.5,19
Eye cream,IT COSMETICS,1,19.0,19
Eye cream,BOBBI BROWN,2,9.0,18
Eye cream,BOSCIA,3,5.666666666666667,17
Eye cream,TATCHA,3,5.333333333333333,16
Eye cream,ANTHONY,1,14.0,14
Eye cream,BELIF,2,7.0,14
Eye cream,KORRES,2,7.0,14
Eye cream,TARTE,2,7.0,14
Eye cream,TATA HARPER,2,6.5,13
Eye cream,ERNO LASZLO,2,6.0,12
Eye cream,FARMACY,1,12.0,12
Eye cream,REN CLEAN SKINCARE,3,4.0,12
Eye cream,SK-II,2,6.0,12
Eye cream,YOUTH TO THE PEOPLE,1,11.0,11
Eye cream,BAREMINERALS,2,5.0,10
Eye cream,BIOSSANCE,1,10.0,10
Eye cream,CAUDALIE,3,3.3333333333333335,10
Eye cream,NATURALLY SERIOUS,1,9.0,9
Eye cream,OMOROVICZA,1,9.0,9
Eye cream,BEAUTYBIO,3,2.6666666666666665,8
Eye cream,CHARLOTTE TILBURY,1,8.0,8
Eye cream,DR. JART+,1,8.0,8
Eye cream,EVE LOM,1,8.0,8
Eye cream,KENZOKI,3,2.6666666666666665,8
Eye cream,KLORANE,2,4.0,8
Eye cream,LANEIGE,2,4.0,8
Eye cream,SEPHORA COLLECTION,3,2.6666666666666665,8
Eye cream,INDIE LEE,1,7.0,7
Eye cream,LANCER,1,7.0,7
Eye cream,OLEHENRIKSEN,2,3.5,7
Eye cream,SUNDAY RILEY,1,7.0,7
Eye cream,DR ROEBUCK’S,1,6.0,6
Eye cream,KORA ORGANICS,1,6.0,6
Eye cream,PEACE OUT,1,6.0,6
Eye cream,SATURDAY SKIN,1,6.0,6
Eye cream,SKIN LAUNDRY,1,6.0,6
Eye cream,SUPERGOOP!,1,6.0,6
Eye cream,L'OCCITANE,2,2.5,5
Eye cream,EDIBLE BEAUTY,1,4.0,4
Eye cream,BIOEFFECT,1,3.0,3
Eye cream,SKIN INC SUPPLEMENT BAR,1,3.0,3
Eye cream,APIVITA,1,1.0,1
Eye cream,DIOR,4,0.25,1
Eye cream,VOLITION BEAUTY,1,1.0,1
Eye cream,FOREO,1,0.0,0
Eye cream,GUERLAIN,2,0.0,0
Eye cream,HUM NUTRITION,1,0.0,0
Eye cream,NARS,1,0.0,0
Eye cream,YVES SAINT LAURENT,1,0.0,0
Face Mask,SEPHORA COLLECTION,39,4.769230769230769,186
Face Mask,DR. JART+,27,4.962962962962963,134
Face Mask,ORIGINS,19,6.2105263157894735,118
Face Mask,BOSCIA,9,6.333333333333333,57
Face Mask,FRESH,9,5.555555555555555,50
Face Mask,PETER THOMAS ROTH,8,5.875,47
Face Mask,LA MER,5,8.2,41
Face Mask,GLAMGLOW,5,7.6,38
Face Mask,ESTÉE LAUDER,5,6.0,30
Face Mask,KIEHL'S SINCE 1851,5,6.0,30
Face Mask,FARMACY,4,7.25,29
Face Mask,DR. BRANDT SKINCARE,4,6.25,25
Face Mask,TOO COOL FOR SCHOOL,7,3.5714285714285716,25
Face Mask,EVE LOM,4,6.0,24
Face Mask,CLINIQUE,5,4.6,23
Face Mask,FIRST AID BEAUTY,4,5.75,23
Face Mask,OLEHENRIKSEN,2,11.0,22
Face Mask,BOBBI BROWN,3,6.666666666666667,20
Face Mask,DERMADOCTOR,2,10.0,20
Face Mask,ALGENIST,3,6.0,18
Face Mask,LANEIGE,5,3.6,18
Face Mask,AMOREPACIFIC,3,5.666666666666667,17
Face Mask,LANCER,3,5.333333333333333,16
Face Mask,BELIF,3,5.0,15
Face Mask,KORRES,2,7.5,15
Face Mask,DR ROEBUCK’S,2,7.0,14
Face Mask,KATE SOMERVILLE,2,7.0,14
Face Mask,BLITHE,2,6.0,12
Face Mask,CLARINS,3,4.0,12
Face Mask,NATURALLY SERIOUS,1,12.0,12
Face Mask,OMOROVICZA,3,4.0,12
Face Mask,ANTHONY,1,11.0,11
Face Mask,CAUDALIE,2,5.5,11
Face Mask,LANCÔME,4,2.75,11
Face Mask,TATA HARPER,3,3.6666666666666665,11
Face Mask,YOUTH TO THE PEOPLE,1,11.0,11
Face Mask,MURAD,2,5.0,10
Face Mask,SKIN LAUNDRY,3,3.3333333333333335,10
Face Mask,INDIE LEE,1,9.0,9
Face Mask,PERRICONE MD,3,3.0,9
Face Mask,SUMMER FRIDAYS,2,4.5,9
Face Mask,VOLITION BEAUTY,1,9.0,9
Face Mask,ERNO LASZLO,3,2.6666666666666665,8
Face Mask,GLOW RECIPE,2,4.0,8
Face Mask,JOSIE MARAN,1,8.0,8
Face Mask,REN CLEAN SKINCARE,4,2.0,8
Face Mask,SATURDAY SKIN,2,4.0,8
Face Mask,TATCHA,3,2.6666666666666665,8
Face Mask,SAND & SKY,1,7.0,7
Face Mask,SKIN INC SUPPLEMENT BAR,2,3.5,7
Face Mask,CHARLOTTE TILBURY,1,6.0,6
Face Mask,DR. DENNIS GROSS SKINCARE,2,3.0,6
Face Mask,FOREO,6,1.0,6
Face Mask,DIOR,5,1.0,5
Face Mask,SK-II,3,1.6666666666666667,5
Face Mask,TARTE,1,5.0,5
Face Mask,PHILOSOPHY,2,2.0,4
Face Mask,ERBORIAN,1,3.0,3
Face Mask,ST. TROPEZ TANNING ESSENTIALS,1,3.0,3
Face Mask,HERBIVORE,1,2.0,2
Face Mask,J.ONE,1,2.0,2
Face Mask,KORA ORGANICS,1,0.0,0
Face Mask,SHISEIDO,2,0.0,0
Moisturizer,IT COSMETICS,9,12.0,108
Moisturizer,CLINIQUE,16,5.875,94
Moisturizer,MURAD,7,9.285714285714286,65
Moisturizer,ORIGINS,10,6.3,63
Moisturizer,LA MER,10,5.7,57
Moisturizer,OLEHENRIKSEN,7,7.428571428571429,52
Moisturizer,FRESH,12,4.166666666666667,50
Moisturizer,CAUDALIE,9,5.111111111111111,46
Moisturizer,SHISEIDO,18,2.5555555555555554,46
Moisturizer,KIEHL'S SINCE 1851,9,4.666666666666667,42
Moisturizer,LANEIGE,6,6.666666666666667,40
Moisturizer,DR. DENNIS GROSS SKINCARE,4,9.75,39
Moisturizer,FIRST AID BEAUTY,7,5.571428571428571,39
Moisturizer,TARTE,8,4.375,35
Moisturizer,BELIF,5,6.8,34
Moisturizer,TATCHA,8,4.25,34
Moisturizer,ESTÉE LAUDER,9,3.6666666666666665,33
Moisturizer,DRUNK ELEPHANT,5,6.2,31
Moisturizer,SK-II,8,3.75,30
Moisturizer,HERBIVORE,7,4.142857142857143,29
Moisturizer,KATE SOMERVILLE,5,5.6,28
Moisturizer,DR. JART+,6,4.5,27
Moisturizer,GLAMGLOW,4,6.75,27
Moisturizer,ALGENIST,5,5.2,26
Moisturizer,SUNDAY RILEY,5,5.2,26
Moisturizer,AMOREPACIFIC,6,4.0,24
Moisturizer,LANCÔME,9,2.6666666666666665,24
Moisturizer,SMASHBOX,4,6.0,24
Moisturizer,YOUTH TO THE PEOPLE,3,7.666666666666667,23
Moisturizer,BIOSSANCE,5,4.2,21
Moisturizer,PHILOSOPHY,5,4.2,21
Moisturizer,CHARLOTTE TILBURY,2,10.0,20
Moisturizer,FARMACY,4,5.0,20
Moisturizer,JOSIE MARAN,6,3.0,18
Moisturizer,PETER THOMAS ROTH,2,9.0,18
Moisturizer,SEPHORA COLLECTION,3,5.333333333333333,16
Moisturizer,CLARINS,4,3.75,15
Moisturizer,BOBBI BROWN,3,4.0,12
Moisturizer,KORRES,2,6.0,12
Moisturizer,PERRICONE MD,3,4.0,12
Moisturizer,DR. BRANDT SKINCARE,1,10.0,10
Moisturizer,L'OCCITANE,1,7.0,7
Moisturizer,LANCER,1,7.0,7
Moisturizer,NURSE JAMIE,1,7.0,7
Moisturizer,SATURDAY SKIN,2,3.5,7
Moisturizer,GLOW RECIPE,2,3.0,6
Moisturizer,ERBORIAN,2,2.5,5
Moisturizer,FARSÁLI,3,1.6666666666666667,5
Moisturizer,GO-TO,1,5.0,5
Moisturizer,JACK BLACK,2,2.5,5
Moisturizer,BAREMINERALS,2,2.0,4
Moisturizer,REN CLEAN SKINCARE,1,4.0,4
Moisturizer,SON & PARK,1,4.0,4
Moisturizer,J.ONE,1,3.0,3
Moisturizer,KORA ORGANICS,1,3.0,3
Moisturizer,MILK MAKEUP,1,2.0,2
Moisturizer,SUPERGOOP!,1,2.0,2
Moisturizer,GUERLAIN,3,0.3333333333333333,1
Moisturizer,DIOR,6,0.0,0
Moisturizer,KAT VON D,1,0.0,0
Moisturizer,KOPARI,1,0.0,0
Moisturizer,MAKE UP FOR EVER,1,0.0,0
Moisturizer,TATA HARPER,2,0.0,0
Sun protect,CLINIQUE,16,4.375,70
Sun protect,SUPERGOOP!,13,3.923076923076923,51
Sun protect,COOLA,18,2.7222222222222223,49
Sun protect,MURAD,4,9.75,39
Sun protect,ESTÉE LAUDER,5,5.4,27
Sun protect,MDSOLARSCIENCES,6,4.333333333333333,26
Sun protect,DR. DENNIS GROSS SKINCARE,3,7.333333333333333,22
Sun protect,PETER THOMAS ROTH,4,5.5,22
Sun protect,SHISEIDO,12,1.6666666666666667,20
Sun protect,KATE SOMERVILLE,3,6.333333333333333,19
Sun protect,MOROCCANOIL,5,3.6,18
Sun protect,PHILOSOPHY,3,5.666666666666667,17
Sun protect,FIRST AID BEAUTY,2,8.0,16
Sun protect,LAURA MERCIER,7,2.2857142857142856,16
Sun protect,IT COSMETICS,1,15.0,15
Sun protect,CLARINS,5,2.8,14
Sun protect,KIEHL'S SINCE 1851,5,2.8,14
Sun protect,TARTE,3,4.333333333333333,13
Sun protect,DERMADOCTOR,2,6.0,12
Sun protect,KORRES,2,6.0,12
Sun protect,AMOREPACIFIC,5,2.0,10
Sun protect,DRUNK ELEPHANT,2,5.0,10
Sun protect,FRESH,2,5.0,10
Sun protect,ILIA,3,3.0,9
Sun protect,CANE + AUSTIN,2,4.0,8
Sun protect,LANCÔME,4,2.0,8
Sun protect,ORIGINS,1,7.0,7
Sun protect,ALGENIST,1,5.0,5
Sun protect,ANTHONY,1,5.0,5
Sun protect,LA MER,1,5.0,5
Sun protect,NARS,2,2.5,5
Sun protect,NEOGEN DERMALOGY,1,5.0,5
Sun protect,TOM FORD,1,5.0,5
Sun protect,BIOSSANCE,1,4.0,4
Sun protect,DR. BRANDT SKINCARE,1,4.0,4
Sun protect,FARMACY,1,4.0,4
Sun protect,SMASHBOX,1,4.0,4
Sun protect,VITA LIBERATA,2,2.0,4
Sun protect,BLACK UP,1,3.0,3
Sun protect,ERBORIAN,1,3.0,3
Sun protect,LANCER,1,3.0,3
Sun protect,SKIN LAUNDRY,1,3.0,3
Sun protect,VOLITION BEAUTY,1,3.0,3
Sun protect,HUM NUTRITION,1,2.0,2
