product_id,brand,name,Label,ingredient,ord,global_support
0,LA MER,Crème de la Mer,Moisturizer,Water,23,990
0,LA MER,Crème de la Mer,Moisturizer,Glycerin,3,942
0,LA MER,Crème de la Mer,Moisturizer,Citric Acid,28,334
0,LA MER,Crème de la Mer,Moisturizer,Sodium Benzoate,39,251
0,LA MER,Crème de la Mer,Moisturizer,Limonene,32,246
0,LA MER,Crème de la Mer,Moisturizer,Linalool,34,236
0,LA MER,Crème de la Mer,Moisturizer,Panthenol,31,172
0,LA MER,Crème de la Mer,Moisturizer,Citronellol,36,147
0,LA MER,Crème de la Mer,Moisturizer,Geraniol,33,126
0,LA MER,Crème de la Mer,Moisturizer,Alcohol Denat.,40,109
0,LA MER,Crème de la Mer,Moisturizer,Isohexadecane,4,87
0,LA MER,Crème de la Mer,Moisturizer,Citral,38,81
0,LA MER,Crème de la Mer,Moisturizer,Fragrance.,41,78
0,LA MER,Crème de la Mer,Moisturizer,Zinc Gluconate,18,72
0,LA MER,Crème de la Mer,Moisturizer,Helianthus Annuus (Sunflower) Seedcake,12,56
1,SK-II,Facial Treatment Essence,Moisturizer,Water,3,990
1,SK-II,Facial Treatment Essence,Moisturizer,Butylene Glycol,1,755
1,SK-II,Facial Treatment Essence,Moisturizer,Sodium Benzoate,4,251
1,SK-II,Facial Treatment Essence,Moisturizer,Pentylene Glycol,2,214
1,SK-II,Facial Treatment Essence,Moisturizer,Methylparaben,5,75
1,SK-II,Facial Treatment Essence,Moisturizer,Galactomyces Ferment Filtrate (Pitera),0,8
1,SK-II,Facial Treatment Essence,Moisturizer,Sorbic Acid.,6,7
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Water,0,990
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Glycerin,2,942
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Phenoxyethanol,53,765
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Butylene Glycol,36,755
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Sodium Hyaluronate,31,465
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Caprylyl Glycol,51,440
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Xanthan Gum,47,396
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Tocopherol,54,306
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Carbomer,42,294
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Sodium Benzoate,55,251
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Polysorbate 20,43,200
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Cetearyl Alcohol,3,186
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,1,49,186
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,Lecithin,35,184
2,DRUNK ELEPHANT,Protini™ Polypeptide Cream,Moisturizer,2-Hexanediol,50,175
3,LA MER,The Moisturizing Soft Cream,Moisturizer,Water,26,990
3,LA MER,The Moisturizing Soft Cream,Moisturizer,Glycerin,34,942
3,LA MER,The Moisturizing Soft Cream,Moisturizer,Phenoxyethanol,77,765
3,LA MER,The Moisturizing Soft Cream,Moisturizer,Butylene Glycol,5,755
