brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
TATCHA,2,48.0,4.25,4.0,4,0.267,1.048,0,3.6,5,"Ethylhexylglycerin, Water, Glycerin",12.0
SATURDAY SKIN,2,44.0,4.6,3.5,3,0.2,1.345,2,3.576,2,"Glycerin, Water, Butylene Glycol",12.57
YOUTH TO THE PEOPLE,3,50.0,4.6,7.67,4,0.267,1.079,0,3.38,5,"Ethylhexylglycerin, Phenoxyethanol, Water",6.52
BELIF,3,43.33,4.63,7.67,5,0.333,1.027,2,2.932,7,"Water, Glycerin, Butylene Glycol",5.65
GLOW RECIPE,2,42.0,4.1,3.0,4,0.267,1.088,0,2.836,2,"Glycerin, Sodium Hyaluronate, Xanthan Gum",14.0
DR. JART+,5,44.0,4.26,5.2,6,0.4,1.223,2,2.699,6,"Butylene Glycol, Glycerin, Water",8.46
BIOSSANCE,4,49.5,4.53,5.0,8,0.533,1.044,0,2.646,7,"Water, Caprylic/Capric Triglyceride, Glycerin",9.9
HERBIVORE,4,44.25,4.22,4.0,1,0.067,0.97,0,2.577,1,Glycerin,11.06
LANEIGE,5,34.4,4.6,5.8,6,0.4,1.175,1,2.472,3,"Water, Ethylhexylglycerin, Glycerin",5.93
ERBORIAN,2,41.5,4.25,2.5,6,0.4,0.963,0,2.445,5,"Butylene Glycol, Water, Ethylhexylglycerin",16.6
AMOREPACIFIC,2,55.0,4.2,3.0,5,0.333,1.115,1,2.402,6,"Butylene Glycol, Glycerin, Water",18.33
CAUDALIE,5,31.2,4.34,3.4,6,0.4,1.117,0,2.372,7,"Water, Caprylyl Glycol, Potassium Sorbate",9.18
FIRST AID BEAUTY,7,32.86,4.23,5.57,8,0.533,1.051,0,2.289,2,"Glycerin, Water, Phenoxyethanol",5.9
BOBBI BROWN,2,53.5,4.2,3.5,8,0.533,0.974,0,2.185,9,"Water, Butylene Glycol, Glycerin",15.29
SMASHBOX,3,38.67,4.03,5.33,8,0.533,1.001,0,2.182,4,"Water, Butylene Glycol, Phenoxyethanol",7.25
OLEHENRIKSEN,6,45.67,4.32,7.0,9,0.6,1.109,0,2.168,5,"Phenoxyethanol, Water, Glycerin",6.52
DRUNK ELEPHANT,2,50.0,4.35,2.5,7,0.467,1.041,0,2.158,7,"Glycerin, Caprylyl Glycol, Water",20.0
GLAMGLOW,4,54.0,4.15,6.75,9,0.6,1.06,0,2.103,7,"Glycerin, Phenoxyethanol, Water",8.0
KORRES,2,51.0,4.4,6.0,6,0.4,1.066,0,2.029,3,"Water, Glycerin, Phenoxyethanol",8.5
SHISEIDO,2,42.5,4.4,3.0,7,0.467,0.908,0,1.973,7,"Butylene Glycol, Glycerin, Water",14.17
MURAD,3,46.67,4.37,9.33,6,0.4,1.068,0,1.961,3,"Butylene Glycol, Water, Phenoxyethanol",5.0
ORIGINS,7,46.14,4.21,7.71,8,0.533,0.929,0,1.907,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",5.98
KIEHL'S SINCE 1851,7,35.0,4.3,4.43,8,0.533,0.982,0,1.887,3,"Water, Phenoxyethanol, Glycerin",7.9
CLINIQUE,9,35.33,3.81,5.33,9,0.6,0.995,0,1.879,4,"Butylene Glycol, Phenoxyethanol, Water",6.63
TARTE,2,38.0,4.35,3.0,8,0.533,1.065,0,1.849,4,"Water, Phenoxyethanol, Glycerin",12.67
FARMACY,4,46.25,4.38,5.0,6,0.4,1.195,2,1.822,4,"Glycerin, Water, Caprylic/Capric Triglyceride",9.25
LANCÔME,2,51.5,4.4,1.5,5,0.333,0.906,0,1.794,4,"Water, Glycerin, Phenoxyethanol",34.33
PHILOSOPHY,4,46.75,4.2,2.75,7,0.467,1.057,0,1.748,5,"Glycerin, Water, Phenoxyethanol",17.0
IT COSMETICS,5,40.0,4.14,14.4,7,0.467,1.146,1,1.664,3,"Butylene Glycol, Glycerin, Phenoxyethanol",2.78
JOSIE MARAN,5,36.0,4.2,3.4,3,0.2,1.053,0,1.554,0,"Phenoxyethanol, Butylene Glycol, Caprylyl Glycol",10.59
GUERLAIN,3,44.33,4.2,0.33,0,0.0,,0,,0,,44.33
