brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
TATCHA,2,48.0,4.25,4.0,4,0.267,1.039,0,3.6,5,"Ethylhexylglycerin, Water, Glycerin",12.0
SATURDAY SKIN,2,44.0,4.6,3.5,3,0.2,1.352,2,3.576,2,"Glycerin, Water, Butylene Glycol",12.57
YOUTH TO THE PEOPLE,3,50.0,4.6,7.67,4,0.267,1.068,0,3.38,5,"Ethylhexylglycerin, Phenoxyethanol, Water",6.52
BELIF,4,42.0,4.62,7.25,5,0.333,1.041,2,2.932,7,"Water, Glycerin, Butylene Glycol",5.79
GLOW RECIPE,2,42.0,4.1,3.0,4,0.267,1.082,0,2.836,2,"Glycerin, Sodium Hyaluronate, Xanthan Gum",14.0
DR. JART+,5,44.0,4.26,5.2,6,0.4,1.221,2,2.699,6,"Butylene Glycol, Glycerin, Water",8.46
BIOSSANCE,4,49.5,4.53,5.0,8,0.533,1.041,0,2.646,7,"Water, Caprylic/Capric Triglyceride, Glycerin",9.9
HERBIVORE,3,46.0,4.23,4.67,1,0.067,0.98,0,2.577,1,Glycerin,9.86
LANEIGE,6,34.5,4.57,6.67,6,0.4,1.171,1,2.472,3,"Water, Ethylhexylglycerin, Glycerin",5.18
ERBORIAN,2,41.5,4.25,2.5,6,0.4,0.962,0,2.445,5,"Butylene Glycol, Water, Ethylhexylglycerin",16.6
AMOREPACIFIC,2,55.0,4.2,3.0,5,0.333,1.109,1,2.402,6,"Butylene Glycol, Glycerin, Water",18.33
CAUDALIE,5,31.2,4.34,3.4,6,0.4,1.114,0,2.372,7,"Water, Caprylyl Glycol, Potassium Sorbate",9.18
FIRST AID BEAUTY,7,32.86,4.23,5.57,8,0.533,1.047,0,2.289,2,"Glycerin, Water, Phenoxyethanol",5.9
BOBBI BROWN,2,53.5,4.2,3.5,8,0.533,0.961,0,2.185,9,"Water, Butylene Glycol, Glycerin",15.29
SMASHBOX,3,38.67,4.03,5.33,8,0.533,0.99,0,2.182,4,"Water, Butylene Glycol, Phenoxyethanol",7.25
OLEHENRIKSEN,5,48.0,4.32,6.2,9,0.6,1.102,0,2.168,5,"Phenoxyethanol, Water, Glycerin",7.74
DRUNK ELEPHANT,2,50.0,4.35,2.5,7,0.467,1.042,0,2.158,7,"Glycerin, Caprylyl Glycol, Water",20.0
GLAMGLOW,4,54.0,4.15,6.75,9,0.6,1.052,0,2.103,7,"Glycerin, Phenoxyethanol, Water",8.0
CLARINS,2,52.5,4.35,3.0,11,0.733,1.042,0,2.034,5,"Glycerin, Water, Phenoxyethanol",17.5
KORRES,2,51.0,4.4,6.0,6,0.4,1.06,0,2.029,3,"Water, Glycerin, Phenoxyethanol",8.5
SHISEIDO,3,48.33,4.37,3.33,7,0.467,0.909,0,1.973,7,"Butylene Glycol, Glycerin, Water",14.5
MURAD,2,50.0,4.45,10.0,6,0.4,1.06,0,1.961,3,"Butylene Glycol, Water, Phenoxyethanol",5.0
ORIGINS,10,44.8,4.26,6.3,8,0.533,0.924,0,1.907,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",7.11
KIEHL'S SINCE 1851,8,34.25,4.35,4.75,8,0.533,0.98,0,1.887,3,"Water, Phenoxyethanol, Glycerin",7.21
CLINIQUE,3,35.33,4.13,6.33,9,0.6,0.98,0,1.879,4,"Butylene Glycol, Phenoxyethanol, Water",5.58
TARTE,2,38.0,4.35,3.0,8,0.533,1.056,0,1.849,4,"Water, Phenoxyethanol, Glycerin",12.67
FARMACY,4,46.25,4.38,5.0,6,0.4,1.205,2,1.822,4,"Glycerin, Water, Caprylic/Capric Triglyceride",9.25
LANCÔME,2,51.5,4.4,1.5,5,0.333,0.908,0,1.794,4,"Water, Glycerin, Phenoxyethanol",34.33
PHILOSOPHY,4,46.75,4.2,2.75,7,0.467,1.051,0,1.748,5,"Glycerin, Water, Phenoxyethanol",17.0
IT COSMETICS,5,40.0,4.14,14.4,7,0.467,1.145,1,1.664,3,"Butylene Glycol, Glycerin, Phenoxyethanol",2.78
JOSIE MARAN,4,33.0,4.15,4.0,3,0.2,1.04,0,1.554,0,"Phenoxyethanol, Butylene Glycol, Caprylyl Glycol",8.25
GUERLAIN,3,44.33,4.2,0.33,0,0.0,,0,,0,,44.33
