brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
MDSOLARSCIENCES,2,29.5,4.05,2.5,1,0.067,0.646,0,3.584,3,Dimethicone,11.8
MOROCCANOIL,4,32.5,3.25,3.75,6,0.4,1.016,0,3.014,7,"Glycerin, Tocopherol, Tocopheryl Acetate",8.67
FIRST AID BEAUTY,2,32.0,3.85,8.0,9,0.6,1.117,0,2.393,2,"Glycerin, Water, Phenoxyethanol",4.0
DRUNK ELEPHANT,2,35.0,3.45,5.0,8,0.533,1.091,0,2.161,4,"Glycerin, Caprylyl Glycol, Water",7.0
SHISEIDO,5,32.4,4.32,1.8,7,0.467,1.031,1,2.116,4,"Butylene Glycol, Glycerin, Water",18.0
PETER THOMAS ROTH,2,34.0,4.0,3.0,9,0.6,1.199,0,2.01,3,"Water, Butylene Glycol, Glycerin",11.33
TARTE,3,32.0,3.97,4.33,8,0.533,1.075,0,1.963,4,"Water, Phenoxyethanol, Glycerin",7.38
COOLA,11,34.0,4.29,2.82,2,0.133,0.926,0,1.951,1,"Water, Caprylyl Glycol",12.06
KIEHL'S SINCE 1851,2,34.5,3.7,3.0,9,0.6,1.027,0,1.866,3,"Water, Phenoxyethanol, Glycerin",11.5
SUPERGOOP!,9,28.0,4.16,3.78,7,0.467,1.018,0,1.839,5,"Glycerin, Caprylic/Capric Triglyceride, Caprylyl Glycol",7.41
CLINIQUE,4,25.25,3.92,2.0,9,0.6,0.993,0,1.831,4,"Butylene Glycol, Phenoxyethanol, Water",12.62
KORRES,2,30.5,4.25,6.0,6,0.4,1.001,0,1.785,3,"Water, Glycerin, Phenoxyethanol",5.08
