brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
MDSOLARSCIENCES,5,36.4,4.2,4.6,1,0.067,0.666,0,3.584,3,Dimethicone,7.91
ILIA,2,38.0,3.65,4.5,3,0.2,1.062,0,2.787,2,"Dimethicone, Ethylhexylglycerin, Glycerin",8.44
AMOREPACIFIC,4,90.5,3.82,2.0,5,0.333,1.1,0,2.477,3,"Butylene Glycol, Glycerin, Water",45.25
FIRST AID BEAUTY,2,32.0,3.85,8.0,8,0.533,1.114,0,2.393,2,"Glycerin, Water, Phenoxyethanol",4.0
DRUNK ELEPHANT,2,35.0,3.45,5.0,7,0.467,1.064,0,2.161,4,"Glycerin, Caprylyl Glycol, Water",7.0
SHISEIDO,3,30.0,4.33,2.0,7,0.467,0.985,0,2.116,4,"Butylene Glycol, Glycerin, Water",15.0
PETER THOMAS ROTH,2,34.0,4.0,3.0,9,0.6,1.188,0,2.01,3,"Water, Butylene Glycol, Glycerin",11.33
TARTE,3,32.0,3.97,4.33,8,0.533,1.044,0,1.963,4,"Water, Phenoxyethanol, Glycerin",7.38
COOLA,16,35.88,4.3,2.81,2,0.133,0.944,0,1.951,1,"Water, Caprylyl Glycol",12.76
KIEHL'S SINCE 1851,5,57.6,3.76,2.8,8,0.533,0.989,0,1.866,3,"Water, Phenoxyethanol, Glycerin",20.57
SUPERGOOP!,5,29.0,4.08,3.8,7,0.467,1.007,0,1.839,5,"Glycerin, Caprylic/Capric Triglyceride, Caprylyl Glycol",7.63
CLINIQUE,4,25.25,3.92,2.0,9,0.6,0.948,0,1.831,4,"Butylene Glycol, Phenoxyethanol, Water",12.62
KORRES,2,30.5,4.25,6.0,6,0.4,0.982,0,1.785,3,"Water, Glycerin, Phenoxyethanol",5.08
PHILOSOPHY,2,57.0,3.9,6.5,7,0.467,1.03,0,1.632,3,"Glycerin, Water, Phenoxyethanol",8.77
