brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
PEACE OUT,2,19.0,4.25,1.5,2,0.133,1.077,0,7.253,6,"Butylene Glycol, Glycerin",12.67
BECCA,2,38.0,3.9,1.5,5,0.333,0.976,0,3.52,6,"Water, Butylene Glycol, Glycerin",25.33
FIRST AID BEAUTY,3,33.33,4.37,7.0,9,0.6,0.915,0,1.966,1,"Glycerin, Water, Phenoxyethanol",4.76
KIEHL'S SINCE 1851,2,26.5,4.45,2.5,9,0.6,0.995,0,1.964,4,"Water, Phenoxyethanol, Glycerin",10.6
MURAD,2,25.5,3.7,2.0,7,0.467,0.952,0,1.946,3,"Butylene Glycol, Water, Phenoxyethanol",12.75
CAUDALIE,2,39.0,4.0,5.5,6,0.4,0.965,0,1.94,3,"Water, Caprylyl Glycol, Potassium Sorbate",7.09
DRUNK ELEPHANT,3,29.0,4.23,7.0,8,0.533,0.972,0,1.922,5,"Glycerin, Caprylyl Glycol, Water",4.14
CLINIQUE,2,23.0,4.1,3.5,9,0.6,0.965,0,1.868,3,"Butylene Glycol, Phenoxyethanol, Water",6.57
ORIGINS,2,26.0,4.25,5.5,7,0.467,0.918,0,1.728,4,"Butylene Glycol, Glycerin, Sodium Hyaluronate",4.73
PETER THOMAS ROTH,3,35.0,4.1,4.0,9,0.6,0.968,0,1.582,3,"Water, Butylene Glycol, Glycerin",8.75
IT COSMETICS,2,33.0,3.75,17.0,7,0.467,1.042,0,1.47,2,"Butylene Glycol, Glycerin, Phenoxyethanol",1.94
