brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
CLARINS,3,31.33,4.57,3.33,11,0.733,1.071,2,1.93,7,"Glycerin, Water, Phenoxyethanol",9.4
FRESH,2,33.5,3.75,3.5,11,0.733,1.128,1,2.434,6,"Water, Glycerin, Butylene Glycol",9.57
CLINIQUE,10,24.1,4.37,3.7,9,0.6,1.045,1,1.976,6,"Butylene Glycol, Phenoxyethanol, Water",6.51
OLEHENRIKSEN,7,24.29,4.37,6.57,9,0.6,1.023,0,1.856,5,"Phenoxyethanol, Water, Glycerin",3.7
PETER THOMAS ROTH,3,38.67,4.3,5.0,9,0.6,1.015,1,2.037,7,"Water, Butylene Glycol, Glycerin",7.73
ORIGINS,3,24.0,4.43,3.67,8,0.533,1.011,1,1.909,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",6.55
KIEHL'S SINCE 1851,8,24.25,4.36,3.38,8,0.533,0.96,0,1.967,6,"Water, Phenoxyethanol, Glycerin",7.19
FIRST AID BEAUTY,4,23.25,4.2,6.5,8,0.533,1.03,1,2.331,5,"Glycerin, Water, Phenoxyethanol",3.58
SEPHORA COLLECTION,2,7.0,4.15,0.0,8,0.533,1.121,2,3.327,10,"Glycerin, Phenoxyethanol, Butylene Glycol",7.0
PHILOSOPHY,3,22.0,4.63,7.0,7,0.467,0.975,0,1.531,2,"Glycerin, Water, Phenoxyethanol",3.14
IT COSMETICS,2,33.0,4.6,16.0,7,0.467,1.07,1,1.372,2,"Butylene Glycol, Glycerin, Phenoxyethanol",2.06
DRUNK ELEPHANT,3,24.67,4.53,2.0,7,0.467,1.082,1,2.224,6,"Glycerin, Caprylyl Glycol, Water",12.33
SHISEIDO,5,28.4,4.52,2.6,7,0.467,0.877,0,2.069,5,"Butylene Glycol, Glycerin, Water",10.92
SUNDAY RILEY,2,36.5,4.3,5.0,7,0.467,1.087,2,1.787,4,"Phenoxyethanol, Water, Caprylyl Glycol",7.3
KORRES,3,27.33,4.6,3.33,6,0.4,1.053,0,2.183,5,"Water, Glycerin, Phenoxyethanol",8.2
FARMACY,3,30.67,4.47,3.33,6,0.4,1.237,4,2.067,5,"Glycerin, Water, Caprylic/Capric Triglyceride",9.2
DR. JART+,2,35.5,4.45,4.5,6,0.4,1.239,3,2.718,6,"Butylene Glycol, Glycerin, Water",7.89
MURAD,2,34.0,4.35,5.0,6,0.4,0.92,0,1.819,3,"Butylene Glycol, Water, Phenoxyethanol",6.8
CAUDALIE,6,26.83,4.3,2.67,6,0.4,1.148,1,2.548,6,"Water, Caprylyl Glycol, Potassium Sorbate",10.06
LANEIGE,4,25.25,4.3,3.0,6,0.4,1.116,1,2.436,3,"Water, Ethylhexylglycerin, Glycerin",8.42
REN CLEAN SKINCARE,3,32.33,4.3,2.0,5,0.333,1.028,0,1.772,3,"Glycerin, Phenoxyethanol, Tocopherol",16.17
BOSCIA,5,25.4,4.12,3.4,4,0.267,1.209,2,3.153,4,"Butylene Glycol, Glycerin, Water",7.47
SATURDAY SKIN,2,27.0,4.55,5.5,3,0.2,1.194,2,3.587,3,"Glycerin, Water, Butylene Glycol",4.91
INDIE LEE,2,32.0,4.4,4.0,3,0.2,1.342,2,6.468,3,"Water, Ethylhexylglycerin, Caprylic/Capric Triglyceride",8.0
