brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
FRESH,2,116.5,4.5,5.5,11,0.733,0.997,0,1.901,5,"Water, Glycerin, Butylene Glycol",21.18
ALGENIST,3,71.67,3.77,5.67,10,0.667,1.014,0,1.867,4,"Glycerin, Water, Caprylyl Glycol",12.65
CLARINS,4,61.25,3.75,3.75,10,0.667,0.937,0,1.82,4,"Glycerin, Water, Phenoxyethanol",16.33
KATE SOMERVILLE,3,61.0,3.53,5.33,10,0.667,0.968,0,1.709,4,"Water, Glycerin, Phenoxyethanol",11.44
PETER THOMAS ROTH,5,59.0,4.12,9.6,9,0.6,0.988,0,1.646,2,"Water, Butylene Glycol, Glycerin",6.15
OLEHENRIKSEN,2,40.0,4.05,3.5,9,0.6,1.047,0,1.881,4,"Phenoxyethanol, Water, Glycerin",11.43
CLINIQUE,4,29.0,3.92,5.5,9,0.6,0.902,0,1.529,1,"Butylene Glycol, Phenoxyethanol, Water",5.27
DR. BRANDT SKINCARE,3,59.67,3.83,7.33,9,0.6,0.925,0,1.443,1,"Phenoxyethanol, Water, Glycerin",8.14
FIRST AID BEAUTY,6,32.0,3.8,5.67,9,0.6,1.006,0,2.205,3,"Glycerin, Water, Phenoxyethanol",5.65
KIEHL'S SINCE 1851,7,36.0,3.66,4.14,9,0.6,0.939,0,1.829,6,"Water, Phenoxyethanol, Glycerin",8.69
TARTE,2,30.0,4.1,7.0,8,0.533,0.97,0,1.944,4,"Water, Phenoxyethanol, Glycerin",4.29
PERRICONE MD,7,84.14,4.09,4.86,8,0.533,0.95,0,1.721,5,"Water, Glycerin, Phenoxyethanol",17.32
PHILOSOPHY,5,58.8,3.6,6.6,8,0.533,0.962,0,1.853,6,"Glycerin, Water, Phenoxyethanol",8.91
DRUNK ELEPHANT,2,62.0,1.95,9.5,8,0.533,1.039,0,2.147,7,"Glycerin, Caprylyl Glycol, Water",6.53
MURAD,2,76.5,4.2,7.0,7,0.467,1.006,0,1.93,3,"Butylene Glycol, Water, Phenoxyethanol",10.93
ORIGINS,2,36.5,4.0,9.5,7,0.467,0.836,0,1.318,1,"Butylene Glycol, Glycerin, Sodium Hyaluronate",3.84
ESTÉE LAUDER,4,59.25,3.7,7.5,7,0.467,0.867,0,1.869,4,"Butylene Glycol, Phenoxyethanol, Sodium Hyaluronate",7.9
SHISEIDO,6,76.0,3.38,4.5,7,0.467,0.922,0,1.739,3,"Butylene Glycol, Glycerin, Water",16.89
KORRES,2,60.5,4.1,7.0,6,0.4,0.999,0,2.035,5,"Water, Glycerin, Phenoxyethanol",8.64
LANEIGE,2,35.0,4.1,4.0,6,0.4,1.043,0,2.177,3,"Water, Ethylhexylglycerin, Glycerin",8.75
BAREMINERALS,2,35.0,3.85,5.0,6,0.4,0.935,0,2.35,6,"Butylene Glycol, Glycerin, Tocopherol",7.0
DR. DENNIS GROSS SKINCARE,5,82.0,3.7,7.2,6,0.4,1.049,0,1.665,4,"Glycerin, Water, Butylene Glycol",11.39
CAUDALIE,3,66.67,3.67,3.33,6,0.4,0.994,0,2.094,4,"Water, Caprylyl Glycol, Potassium Sorbate",20.0
ERNO LASZLO,2,41.5,4.75,6.0,5,0.333,1.087,1,2.63,4,"Butylene Glycol, Ethylhexylglycerin, Glycerin",6.92
AMOREPACIFIC,2,90.0,4.1,6.5,5,0.333,1.036,0,2.319,6,"Butylene Glycol, Glycerin, Water",13.85
LANCÔME,5,63.0,3.8,6.0,5,0.333,0.98,0,1.739,2,"Water, Glycerin, Phenoxyethanol",10.5
TATA HARPER,2,101.5,3.5,6.5,2,0.133,1.007,0,1.918,1,"Glycerin, Caprylic/Capric Triglyceride",15.62
WANDER BEAUTY,2,25.0,4.45,10.0,1,0.067,1.2,1,4.878,5,Butylene Glycol,2.5
