brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
OLEHENRIKSEN,2,36.0,4.25,5.5,9,0.6,1.109,0,2.168,5,"Phenoxyethanol, Water, Glycerin",6.55
CLINIQUE,9,35.33,3.81,5.33,9,0.6,0.995,0,1.879,4,"Butylene Glycol, Phenoxyethanol, Water",6.63
TARTE,2,38.0,4.35,3.0,8,0.533,1.065,0,1.849,4,"Water, Phenoxyethanol, Glycerin",12.67
ORIGINS,3,34.0,4.27,8.33,8,0.533,0.929,0,1.907,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",4.08
FIRST AID BEAUTY,7,32.86,4.23,5.57,8,0.533,1.051,0,2.289,2,"Glycerin, Water, Phenoxyethanol",5.9
KIEHL'S SINCE 1851,5,30.2,4.2,4.6,8,0.533,0.982,0,1.887,3,"Water, Phenoxyethanol, Glycerin",6.57
IT COSMETICS,4,38.0,4.1,14.0,7,0.467,1.146,1,1.664,3,"Butylene Glycol, Glycerin, Phenoxyethanol",2.71
PHILOSOPHY,2,39.0,4.05,2.0,7,0.467,1.057,0,1.748,5,"Glycerin, Water, Phenoxyethanol",19.5
LANEIGE,5,34.4,4.6,5.8,6,0.4,1.175,1,2.472,3,"Water, Ethylhexylglycerin, Glycerin",5.93
CAUDALIE,4,26.5,4.3,4.0,6,0.4,1.117,0,2.372,7,"Water, Caprylyl Glycol, Potassium Sorbate",6.62
MURAD,2,40.0,4.25,9.5,6,0.4,1.068,0,1.961,3,"Butylene Glycol, Water, Phenoxyethanol",4.21
DR. JART+,2,36.0,4.1,3.0,6,0.4,1.223,2,2.699,6,"Butylene Glycol, Glycerin, Water",12.0
BELIF,2,36.0,4.6,8.0,5,0.333,1.027,2,2.932,7,"Water, Glycerin, Butylene Glycol",4.5
JOSIE MARAN,4,33.0,4.15,4.0,3,0.2,1.053,0,1.554,0,"Phenoxyethanol, Butylene Glycol, Caprylyl Glycol",8.25
HERBIVORE,2,35.5,4.15,2.0,1,0.067,0.97,0,2.577,1,Glycerin,17.75
