brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
INDIE LEE,2,32.0,4.4,4.0,3,0.2,1.342,2,6.468,3,"Water, Ethylhexylglycerin, Caprylic/Capric Triglyceride",8.0
DR. JART+,2,35.5,4.45,4.5,6,0.4,1.239,3,2.718,6,"Butylene Glycol, Glycerin, Water",7.89
FARMACY,3,30.67,4.47,3.33,6,0.4,1.237,4,2.067,5,"Glycerin, Water, Caprylic/Capric Triglyceride",9.2
BOSCIA,5,25.4,4.12,3.4,4,0.267,1.209,2,3.153,4,"Butylene Glycol, Glycerin, Water",7.47
SATURDAY SKIN,2,27.0,4.55,5.5,3,0.2,1.194,2,3.587,3,"Glycerin, Water, Butylene Glycol",4.91
TATA HARPER,3,62.67,4.23,0.0,2,0.133,1.182,2,3.517,4,"Glycerin, Caprylic/Capric Triglyceride",62.67
CAUDALIE,6,26.83,4.3,2.67,6,0.4,1.148,1,2.548,6,"Water, Caprylyl Glycol, Potassium Sorbate",10.06
FRESH,2,33.5,3.75,3.5,11,0.733,1.128,1,2.434,6,"Water, Glycerin, Butylene Glycol",9.57
SEPHORA COLLECTION,2,7.0,4.15,0.0,8,0.533,1.121,2,3.327,10,"Glycerin, Phenoxyethanol, Butylene Glycol",7.0
LANEIGE,4,25.25,4.3,3.0,6,0.4,1.116,1,2.436,3,"Water, Ethylhexylglycerin, Glycerin",8.42
TATCHA,2,38.5,4.55,1.5,4,0.267,1.109,1,3.237,3,"Ethylhexylglycerin, Water, Glycerin",25.67
KATE SOMERVILLE,2,39.5,2.2,4.0,9,0.6,1.101,1,1.889,4,"Water, Glycerin, Phenoxyethanol",9.88
SK-II,3,73.67,4.3,2.67,5,0.333,1.099,0,2.874,5,"Water, Butylene Glycol, Glycerin",27.63
SUNDAY RILEY,2,36.5,4.3,5.0,7,0.467,1.087,2,1.787,4,"Phenoxyethanol, Water, Caprylyl Glycol",7.3
DRUNK ELEPHANT,5,48.8,4.48,5.0,7,0.467,1.082,1,2.224,6,"Glycerin, Caprylyl Glycol, Water",9.76
CLARINS,3,31.33,4.57,3.33,11,0.733,1.071,2,1.93,7,"Glycerin, Water, Phenoxyethanol",9.4
IT COSMETICS,2,33.0,4.6,16.0,7,0.467,1.07,1,1.372,2,"Butylene Glycol, Glycerin, Phenoxyethanol",2.06
PERRICONE MD,3,42.67,4.4,2.33,8,0.533,1.053,1,1.685,4,"Water, Glycerin, Phenoxyethanol",18.29
KORRES,3,27.33,4.6,3.33,6,0.4,1.053,0,2.183,5,"Water, Glycerin, Phenoxyethanol",8.2
CLINIQUE,10,24.1,4.37,3.7,9,0.6,1.045,1,1.976,6,"Butylene Glycol, Phenoxyethanol, Water",6.51
FIRST AID BEAUTY,5,29.6,4.26,7.4,8,0.533,1.03,1,2.331,5,"Glycerin, Water, Phenoxyethanol",4.0
REN CLEAN SKINCARE,3,32.33,4.3,2.0,5,0.333,1.028,0,1.772,3,"Glycerin, Phenoxyethanol, Tocopherol",16.17
OLEHENRIKSEN,8,26.5,4.39,6.25,9,0.6,1.023,0,1.856,5,"Phenoxyethanol, Water, Glycerin",4.24
PETER THOMAS ROTH,3,38.67,4.3,5.0,9,0.6,1.015,1,2.037,7,"Water, Butylene Glycol, Glycerin",7.73
ORIGINS,3,24.0,4.43,3.67,8,0.533,1.011,1,1.909,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",6.55
PHILOSOPHY,4,35.25,4.5,6.75,7,0.467,0.975,0,1.531,2,"Glycerin, Water, Phenoxyethanol",5.22
KIEHL'S SINCE 1851,9,26.11,4.43,3.33,8,0.533,0.96,0,1.967,6,"Water, Phenoxyethanol, Glycerin",7.83
GLAMGLOW,4,46.5,4.1,9.75,9,0.6,0.924,0,1.857,6,"Glycerin, Phenoxyethanol, Water",4.77
MURAD,3,48.67,4.33,5.33,6,0.4,0.92,0,1.819,3,"Butylene Glycol, Water, Phenoxyethanol",9.12
SHISEIDO,7,36.29,4.39,2.71,7,0.467,0.877,0,2.069,5,"Butylene Glycol, Glycerin, Water",13.37
LA MER,2,95.0,4.2,5.5,0,0.0,0.662,0,1.952,0,,17.27
