brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
LANEIGE,2,35.0,4.1,4.0,6,0.4,1.054,1,2.177,3,"Water, Ethylhexylglycerin, Glycerin",8.75
DR. DENNIS GROSS SKINCARE,4,62.75,3.65,9.0,6,0.4,1.05,0,1.665,4,"Glycerin, Water, Butylene Glycol",6.97
AMOREPACIFIC,2,90.0,4.1,6.5,5,0.333,1.048,1,2.319,6,"Butylene Glycol, Glycerin, Water",13.85
OLEHENRIKSEN,2,40.0,4.05,3.5,9,0.6,1.031,0,1.881,4,"Phenoxyethanol, Water, Glycerin",11.43
DRUNK ELEPHANT,2,62.0,1.95,9.5,7,0.467,1.012,0,2.147,7,"Glycerin, Caprylyl Glycol, Water",6.53
ALGENIST,3,71.67,3.77,5.67,9,0.6,1.006,0,1.867,4,"Glycerin, Water, Caprylyl Glycol",12.65
FIRST AID BEAUTY,6,32.0,3.8,5.67,8,0.533,0.995,0,2.205,3,"Glycerin, Water, Phenoxyethanol",5.65
KORRES,2,60.5,4.1,7.0,6,0.4,0.979,0,2.035,5,"Water, Glycerin, Phenoxyethanol",8.64
CAUDALIE,3,66.67,3.67,3.33,6,0.4,0.978,0,2.094,4,"Water, Caprylyl Glycol, Potassium Sorbate",20.0
MURAD,2,76.5,4.2,7.0,6,0.4,0.974,0,1.93,3,"Butylene Glycol, Water, Phenoxyethanol",10.93
PETER THOMAS ROTH,4,55.0,4.15,10.75,9,0.6,0.967,0,1.646,2,"Water, Butylene Glycol, Glycerin",5.12
PERRICONE MD,5,61.8,3.92,3.8,8,0.533,0.96,0,1.721,5,"Water, Glycerin, Phenoxyethanol",16.26
TARTE,2,30.0,4.1,7.0,8,0.533,0.956,0,1.944,4,"Water, Phenoxyethanol, Glycerin",4.29
CLARINS,4,61.25,3.75,3.75,11,0.733,0.927,0,1.82,4,"Glycerin, Water, Phenoxyethanol",16.33
LANCÔME,5,63.0,3.8,6.0,5,0.333,0.924,0,1.739,2,"Water, Glycerin, Phenoxyethanol",10.5
PHILOSOPHY,5,58.8,3.6,6.6,7,0.467,0.916,0,1.853,6,"Glycerin, Water, Phenoxyethanol",8.91
SHISEIDO,4,60.25,3.0,3.75,7,0.467,0.908,0,1.739,3,"Butylene Glycol, Glycerin, Water",16.07
KIEHL'S SINCE 1851,6,34.67,3.75,4.33,8,0.533,0.892,0,1.829,6,"Water, Phenoxyethanol, Glycerin",8.0
CLINIQUE,4,29.0,3.92,5.5,9,0.6,0.871,0,1.529,1,"Butylene Glycol, Phenoxyethanol, Water",5.27
ORIGINS,2,36.5,4.0,9.5,8,0.533,0.836,0,1.318,1,"Butylene Glycol, Glycerin, Sodium Hyaluronate",3.84
