brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
KIEHL'S SINCE 1851,4,44.25,4.25,5.5,8,0.533,1.066,1,2.004,4,"Water, Phenoxyethanol, Glycerin",8.05
OLEHENRIKSEN,2,34.0,4.4,11.0,9,0.6,0.99,1,1.843,4,"Phenoxyethanol, Water, Glycerin",3.09
LANCÔME,4,34.25,4.55,2.75,5,0.333,0.983,0,1.853,5,"Water, Glycerin, Phenoxyethanol",12.45
DR ROEBUCK’S,2,28.0,4.35,7.0,4,0.267,0.983,0,4.36,6,"Glycerin, Caprylyl Glycol, Water",4.0
PHILOSOPHY,2,36.0,4.65,2.0,7,0.467,0.974,0,1.671,4,"Glycerin, Water, Phenoxyethanol",18.0
CLARINS,2,47.0,4.35,4.0,11,0.733,0.961,0,1.916,5,"Glycerin, Water, Phenoxyethanol",11.75
ORIGINS,12,21.33,4.18,5.67,8,0.533,0.954,0,1.928,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",3.76
FIRST AID BEAUTY,4,31.0,4.28,5.75,8,0.533,0.953,0,2.206,4,"Glycerin, Water, Phenoxyethanol",5.39
CAUDALIE,2,39.0,4.35,5.5,6,0.4,0.904,0,1.983,4,"Water, Caprylyl Glycol, Potassium Sorbate",7.09
SUMMER FRIDAYS,2,46.0,4.3,4.5,2,0.133,0.894,0,4.534,4,"Caprylic/Capric Triglyceride, Carbomer",10.22
FARMACY,4,26.5,4.47,7.25,6,0.4,0.871,1,1.3,2,"Glycerin, Water, Caprylic/Capric Triglyceride",3.66
PETER THOMAS ROTH,5,55.6,4.28,5.6,9,0.6,0.87,0,1.525,2,"Water, Butylene Glycol, Glycerin",9.93
LANEIGE,4,19.0,4.47,3.25,6,0.4,0.868,0,1.687,3,"Water, Ethylhexylglycerin, Glycerin",5.85
SKIN LAUNDRY,3,55.33,3.7,3.33,6,0.4,0.863,0,3.295,7,"Glycerin, Water, Butylene Glycol",16.6
BELIF,2,36.0,4.35,6.0,5,0.333,0.851,0,2.328,7,"Water, Glycerin, Butylene Glycol",6.0
GLAMGLOW,4,42.25,4.32,5.5,9,0.6,0.851,0,1.769,5,"Glycerin, Phenoxyethanol, Water",7.68
DR. JART+,27,14.26,4.12,4.96,6,0.4,0.83,0,1.636,5,"Butylene Glycol, Glycerin, Water",2.87
BOSCIA,8,23.75,4.11,6.62,4,0.267,0.828,0,2.08,3,"Butylene Glycol, Glycerin, Water",3.58
TOO COOL FOR SCHOOL,5,12.8,4.18,4.2,8,0.533,0.815,0,2.717,7,"Water, Butylene Glycol, Glycerin",3.05
GLOW RECIPE,2,15.0,3.65,4.0,4,0.267,0.776,0,2.704,3,"Glycerin, Sodium Hyaluronate, Xanthan Gum",3.75
SEPHORA COLLECTION,20,8.55,4.32,4.9,8,0.533,0.773,0,2.393,8,"Glycerin, Phenoxyethanol, Butylene Glycol",1.74
SATURDAY SKIN,2,6.0,4.45,4.0,3,0.2,0.771,0,1.839,3,"Glycerin, Water, Butylene Glycol",1.5
FOREO,6,15.67,3.08,1.0,0,0.0,,0,,0,,15.67
