brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
SATURDAY SKIN,2,44.0,4.6,3.5,3,0.2,1.363,2,3.576,2,"Glycerin, Water, Butylene Glycol",12.57
DR. JART+,4,46.0,4.3,5.25,6,0.4,1.227,2,2.699,6,"Butylene Glycol, Glycerin, Water",8.76
FARMACY,4,46.25,4.38,5.0,6,0.4,1.218,2,1.822,4,"Glycerin, Water, Caprylic/Capric Triglyceride",9.25
LANEIGE,5,34.4,4.56,6.2,6,0.4,1.175,1,2.472,3,"Water, Ethylhexylglycerin, Glycerin",5.55
IT COSMETICS,6,44.67,4.08,14.33,7,0.467,1.151,1,1.664,3,"Butylene Glycol, Glycerin, Phenoxyethanol",3.12
DR. DENNIS GROSS SKINCARE,3,69.0,4.17,9.33,6,0.4,1.122,0,1.661,3,"Glycerin, Water, Butylene Glycol",7.39
CAUDALIE,6,48.33,4.23,4.5,6,0.4,1.114,0,2.372,7,"Water, Caprylyl Glycol, Potassium Sorbate",10.74
AMOREPACIFIC,2,55.0,4.2,3.0,5,0.333,1.112,1,2.402,6,"Butylene Glycol, Glycerin, Water",18.33
OLEHENRIKSEN,6,46.67,4.33,6.83,9,0.6,1.111,0,2.168,5,"Phenoxyethanol, Water, Glycerin",6.83
YOUTH TO THE PEOPLE,2,51.0,4.8,7.0,4,0.267,1.072,0,3.38,5,"Ethylhexylglycerin, Phenoxyethanol, Water",7.29
KORRES,2,51.0,4.4,6.0,6,0.4,1.071,0,2.029,3,"Water, Glycerin, Phenoxyethanol",8.5
TARTE,2,38.0,4.35,3.0,8,0.533,1.06,0,1.849,4,"Water, Phenoxyethanol, Glycerin",12.67
MURAD,2,61.5,4.3,7.5,6,0.4,1.056,0,1.961,3,"Butylene Glycol, Water, Phenoxyethanol",8.2
PHILOSOPHY,5,52.4,4.16,4.2,7,0.467,1.051,0,1.748,5,"Glycerin, Water, Phenoxyethanol",12.48
BIOSSANCE,5,54.0,4.5,4.2,8,0.533,1.048,0,2.646,7,"Water, Caprylic/Capric Triglyceride, Glycerin",12.86
FIRST AID BEAUTY,6,32.67,4.23,6.0,8,0.533,1.048,0,2.289,2,"Glycerin, Water, Phenoxyethanol",5.44
GLAMGLOW,3,55.67,4.17,8.33,9,0.6,1.047,0,2.103,7,"Glycerin, Phenoxyethanol, Water",6.68
DRUNK ELEPHANT,4,60.0,4.38,3.5,7,0.467,1.046,0,2.158,7,"Glycerin, Caprylyl Glycol, Water",17.14
BELIF,3,43.33,4.67,7.0,5,0.333,1.04,2,2.932,7,"Water, Glycerin, Butylene Glycol",6.19
TATCHA,2,48.0,4.25,4.0,4,0.267,1.04,0,3.6,5,"Ethylhexylglycerin, Water, Glycerin",12.0
JOSIE MARAN,6,38.0,4.25,3.0,3,0.2,1.039,0,1.554,0,"Phenoxyethanol, Butylene Glycol, Caprylyl Glycol",12.67
SUNDAY RILEY,4,70.5,4.22,5.5,7,0.467,1.032,0,1.672,1,"Phenoxyethanol, Water, Caprylyl Glycol",12.82
KATE SOMERVILLE,2,65.0,4.35,7.5,9,0.6,1.019,0,1.732,4,"Water, Glycerin, Phenoxyethanol",8.67
SMASHBOX,3,38.67,4.03,5.33,8,0.533,0.997,0,2.182,4,"Water, Butylene Glycol, Phenoxyethanol",7.25
HERBIVORE,3,46.0,4.23,4.67,1,0.067,0.988,0,2.577,1,Glycerin,9.86
CLINIQUE,5,36.8,3.34,6.0,9,0.6,0.986,0,1.879,4,"Butylene Glycol, Phenoxyethanol, Water",6.13
KIEHL'S SINCE 1851,7,35.0,4.39,5.14,8,0.533,0.98,0,1.887,3,"Water, Phenoxyethanol, Glycerin",6.81
ERBORIAN,2,41.5,4.25,2.5,6,0.4,0.954,0,2.445,5,"Butylene Glycol, Water, Ethylhexylglycerin",16.6
ORIGINS,9,44.78,4.26,6.89,8,0.533,0.92,0,1.907,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",6.5
SHISEIDO,5,54.0,4.42,3.6,7,0.467,0.907,0,1.973,7,"Butylene Glycol, Glycerin, Water",15.0
LANCÔME,2,51.5,4.4,1.5,5,0.333,0.905,0,1.794,4,"Water, Glycerin, Phenoxyethanol",34.33
GUERLAIN,3,44.33,4.2,0.33,0,0.0,,0,,0,,44.33
