brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
DR. JART+,2,36.0,4.1,3.0,6,0.4,1.221,2,2.699,6,"Butylene Glycol, Glycerin, Water",12.0
LANEIGE,6,34.5,4.57,6.67,6,0.4,1.171,1,2.472,3,"Water, Ethylhexylglycerin, Glycerin",5.18
IT COSMETICS,4,38.0,4.1,14.0,7,0.467,1.145,1,1.664,3,"Butylene Glycol, Glycerin, Phenoxyethanol",2.71
CAUDALIE,4,26.5,4.3,4.0,6,0.4,1.114,0,2.372,7,"Water, Caprylyl Glycol, Potassium Sorbate",6.62
TARTE,2,38.0,4.35,3.0,8,0.533,1.056,0,1.849,4,"Water, Phenoxyethanol, Glycerin",12.67
PHILOSOPHY,2,39.0,4.05,2.0,7,0.467,1.051,0,1.748,5,"Glycerin, Water, Phenoxyethanol",19.5
FIRST AID BEAUTY,7,32.86,4.23,5.57,8,0.533,1.047,0,2.289,2,"Glycerin, Water, Phenoxyethanol",5.9
BELIF,3,36.67,4.6,7.33,5,0.333,1.041,2,2.932,7,"Water, Glycerin, Butylene Glycol",5.0
JOSIE MARAN,4,33.0,4.15,4.0,3,0.2,1.04,0,1.554,0,"Phenoxyethanol, Butylene Glycol, Caprylyl Glycol",8.25
KIEHL'S SINCE 1851,6,30.0,4.28,5.0,8,0.533,0.98,0,1.887,3,"Water, Phenoxyethanol, Glycerin",6.0
CLINIQUE,3,35.33,4.13,6.33,9,0.6,0.98,0,1.879,4,"Butylene Glycol, Phenoxyethanol, Water",5.58
ORIGINS,4,34.25,4.32,8.0,8,0.533,0.924,0,1.907,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",4.28
