brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
DR. JART+,2,36.0,4.1,3.0,6,0.4,1.238,2,2.699,6,"Butylene Glycol, Glycerin, Water",12.0
LANEIGE,5,33.8,4.48,6.8,6,0.4,1.181,1,2.472,3,"Water, Ethylhexylglycerin, Glycerin",4.97
IT COSMETICS,3,38.0,4.17,14.0,7,0.467,1.163,1,1.664,3,"Butylene Glycol, Glycerin, Phenoxyethanol",2.71
CAUDALIE,4,26.5,4.3,4.0,6,0.4,1.116,0,2.372,7,"Water, Caprylyl Glycol, Potassium Sorbate",6.62
OLEHENRIKSEN,2,39.0,4.3,5.0,9,0.6,1.105,0,2.168,5,"Phenoxyethanol, Water, Glycerin",7.8
JOSIE MARAN,4,33.0,4.15,4.0,3,0.2,1.037,0,1.554,0,"Phenoxyethanol, Butylene Glycol, Caprylyl Glycol",8.25
FIRST AID BEAUTY,7,32.86,4.23,5.57,8,0.533,1.036,0,2.289,2,"Glycerin, Water, Phenoxyethanol",5.9
PHILOSOPHY,2,39.0,4.05,2.0,7,0.467,1.027,0,1.748,5,"Glycerin, Water, Phenoxyethanol",19.5
CLINIQUE,3,35.33,4.13,6.33,9,0.6,0.958,0,1.879,4,"Butylene Glycol, Phenoxyethanol, Water",5.58
KIEHL'S SINCE 1851,4,30.5,4.22,5.25,8,0.533,0.954,0,1.887,3,"Water, Phenoxyethanol, Glycerin",5.81
HERBIVORE,2,35.5,4.15,2.0,1,0.067,0.947,0,2.577,1,Glycerin,17.75
ORIGINS,2,31.5,4.4,8.5,8,0.533,0.902,0,1.907,6,"Butylene Glycol, Glycerin, Sodium Hyaluronate",3.71
