brand,num_products,avg_price,avg_rating,avg_actives,overlap_with_skin_topN,coverage_skin_topN,avg_lift_vs_label,num_high_lift(>1.5),avg_distinctiveness,num_distinct(>2x_label),example_overlap,price_per_active
PEACE OUT,2,19.0,4.25,1.5,2,0.133,1.077,0,7.253,6,"Butylene Glycol, Glycerin",12.67
MOON JUICE,2,48.5,4.7,6.5,4,0.267,1.069,0,5.736,6,"Citric Acid, Glycerin, Tocopherol",7.46
IT COSMETICS,3,41.33,3.87,16.67,7,0.467,1.042,0,1.47,2,"Butylene Glycol, Glycerin, Phenoxyethanol",2.48
DR. JART+,3,44.67,4.23,7.0,6,0.4,1.02,0,1.691,3,"Butylene Glycol, Glycerin, Water",6.38
OLEHENRIKSEN,4,50.25,4.32,7.0,9,0.6,1.004,0,1.8,3,"Phenoxyethanol, Water, Glycerin",7.18
GLAMGLOW,2,59.0,4.1,6.0,9,0.6,1.002,0,1.992,6,"Glycerin, Phenoxyethanol, Water",9.83
KIEHL'S SINCE 1851,4,40.75,4.18,3.5,9,0.6,0.995,0,1.964,4,"Water, Phenoxyethanol, Glycerin",11.64
BECCA,2,38.0,3.9,1.5,5,0.333,0.976,0,3.52,6,"Water, Butylene Glycol, Glycerin",25.33
DRUNK ELEPHANT,4,34.75,4.22,6.75,8,0.533,0.972,0,1.922,5,"Glycerin, Caprylyl Glycol, Water",5.15
PETER THOMAS ROTH,7,43.71,4.33,4.14,9,0.6,0.968,0,1.582,3,"Water, Butylene Glycol, Glycerin",10.55
CAUDALIE,5,44.2,4.18,3.6,6,0.4,0.965,0,1.94,3,"Water, Caprylyl Glycol, Potassium Sorbate",12.28
CLINIQUE,3,35.33,4.07,5.0,9,0.6,0.965,0,1.868,3,"Butylene Glycol, Phenoxyethanol, Water",7.07
KATE SOMERVILLE,4,42.75,4.22,3.75,10,0.667,0.963,0,1.619,4,"Water, Glycerin, Phenoxyethanol",11.4
REN CLEAN SKINCARE,4,50.25,4.22,1.25,5,0.333,0.958,0,1.528,2,"Glycerin, Phenoxyethanol, Tocopherol",40.2
MURAD,6,38.5,4.07,4.83,7,0.467,0.952,0,1.946,3,"Butylene Glycol, Water, Phenoxyethanol",7.97
ORIGINS,5,45.4,4.04,6.4,7,0.467,0.918,0,1.728,4,"Butylene Glycol, Glycerin, Sodium Hyaluronate",7.09
FIRST AID BEAUTY,4,39.5,4.35,8.25,9,0.6,0.915,0,1.966,1,"Glycerin, Water, Phenoxyethanol",4.79
