skin_type,ingredients,count,share
Dry,Water,653,0.022285168247901166
Dry,Glycerin,637,0.021739130434782608
Dry,Phenoxyethanol,497,0.016961299569995224
Dry,Butylene Glycol,476,0.016244624940277116
Dry,Caprylyl Glycol,287,0.009794553272814142
Dry,Ethylhexylglycerin,278,0.009487407002934952
Dry,Xanthan Gum,274,0.009350897549655313
Dry,Sodium Hyaluronate,273,0.009316770186335404
Dry,Dimethicone,260,0.008873114463176575
Dry,Citric Acid,233,0.007951675653539008
Dry,Tocopherol,223,0.007610402020339908
Dry,Tocopheryl Acetate,223,0.007610402020339908
Dry,Caprylic/Capric Triglyceride,207,0.00706436420722135
Dry,Potassium Sorbate,198,0.006757217937342161
Dry,Carbomer,185,0.0063135622141833325
Dry,Propanediol,179,0.0061087980342638725
Dry,Sodium Hydroxide,176,0.006006415944304143
Dry,Sodium Benzoate,174,0.005938161217664323
Dry,Disodium EDTA,173,0.005904033854344413
Dry,1,164,0.0055968875844652245
Dry,Fragrance,158,0.0053921234045457645
Dry,Disodium Edta,158,0.0053921234045457645
Dry,2-Hexanediol,155,0.005289741314586035
Dry,Limonene,152,0.005187359224626305
Dry,Silica,150,0.005119104497986486
Dry,Pentylene Glycol,149,0.005084977134666576
Dry,Polysorbate 20,144,0.004914340318067026
Dry,Squalane,141,0.004811958228107297
Dry,Linalool,140,0.004777830864787387
Dry,Glyceryl Stearate,138,0.004709576138147566
Dry,Cetearyl Alcohol,133,0.004538939321548017
Dry,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,125,0.004265920414988738
Dry,Cyclopentasiloxane,122,0.0041635383250290085
Dry,Camellia Sinensis Leaf Extract,121,0.004129410961709099
Dry,Lecithin,119,0.004061156235069279
Dry,Caffeine,116,0.0039587741451095485
Dry,Panthenol,111,0.003788137328509999
Dry,Alcohol,108,0.0036857552385502696
Dry,Stearic Acid,104,0.00354924578527063
Dry,Allantoin,102,0.0034809910586308104
Dry,Niacinamide,100,0.0034127363319909902
Dry,Chlorphenesin,99,0.0033786089686710804
Dry,Hexylene Glycol,93,0.003173844788751621
Dry,Citronellol,93,0.003173844788751621
Dry,Sodium Citrate,91,0.003105590062111801
Dry,Betaine,90,0.003071462698791891
Dry,Mica,87,0.0029690806088321616
Dry,Adenosine,85,0.002900825882192342
Dry,Geraniol,81,0.0027643164289127024
Dry,Helianthus Annuus (Sunflower) Seed Oil,80,0.002730189065592792
