Label,ingredients,count,share
Face Mask,Glycerin,218,0.026189332051898127
Face Mask,Water,192,0.023065833733781835
Face Mask,Butylene Glycol,177,0.02126381547333013
Face Mask,Phenoxyethanol,168,0.020182604517059107
Face Mask,Xanthan Gum,110,0.013214800576645843
Face Mask,Sodium Hyaluronate,96,0.011532916866890917
Face Mask,Ethylhexylglycerin,95,0.011412782316194137
Face Mask,1,89,0.010691975012013456
Face Mask,2-Hexanediol,85,0.010211436809226334
Face Mask,Caprylyl Glycol,82,0.009851033157135992
Face Mask,Potassium Sorbate,75,0.00901009130225853
Face Mask,Carbomer,74,0.00888995675156175
Face Mask,Citric Acid,66,0.007928880345987505
Face Mask,Disodium EDTA,62,0.007448342143200384
Face Mask,Fragrance,62,0.007448342143200384
Face Mask,Kaolin,57,0.006847669389716483
Face Mask,Caprylic/Capric Triglyceride,56,0.006727534839019702
Face Mask,Tocopheryl Acetate,56,0.006727534839019702
Face Mask,Allantoin,53,0.006367131186929361
Face Mask,Dimethicone,53,0.006367131186929361
Face Mask,Propanediol,53,0.006367131186929361
Face Mask,Limonene,50,0.006006727534839019
Face Mask,Panthenol,49,0.0058865929841422394
Face Mask,Sodium Benzoate,49,0.0058865929841422394
Face Mask,Sodium Hydroxide,46,0.005526189332051898
Face Mask,Betaine,45,0.005406054781355117
Face Mask,Linalool,44,0.005285920230658337
Face Mask,Disodium Edta,43,0.005165785679961557
Face Mask,Pentylene Glycol,42,0.005045651129264777
Face Mask,Cetearyl Alcohol,41,0.004925516578567996
Face Mask,Tocopherol,41,0.004925516578567996
Face Mask,Polysorbate 20,40,0.004805382027871216
Face Mask,Dipotassium Glycyrrhizate,39,0.004685247477174435
Face Mask,Hexylene Glycol,38,0.004565112926477655
Face Mask,Arginine,37,0.004444978375780875
Face Mask,Caffeine,36,0.004324843825084094
Face Mask,Silica,36,0.004324843825084094
Face Mask,Sodium Citrate,35,0.004204709274387314
Face Mask,Glyceryl Stearate,33,0.003964440172993753
Face Mask,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,31,0.003724171071600192
Face Mask,Hydroxyacetophenone,31,0.003724171071600192
Face Mask,Camellia Sinensis Leaf Extract,28,0.003363767419509851
Face Mask,Lecithin,28,0.003363767419509851
Face Mask,Squalane,28,0.003363767419509851
Face Mask,Alcohol,27,0.0032436328688130707
Face Mask,Bentonite,27,0.0032436328688130707
Face Mask,Niacinamide,27,0.0032436328688130707
Face Mask,Dipropylene Glycol,24,0.0028832292167227293
Face Mask,Trehalose,24,0.0028832292167227293
Face Mask,Geraniol,23,0.002763094666025949
