Label,ingredients,count,share
Moisturizer,Water,197,0.019650872817955113
Moisturizer,Glycerin,195,0.01945137157107232
Moisturizer,Phenoxyethanol,166,0.01655860349127182
Moisturizer,Butylene Glycol,148,0.014763092269326683
Moisturizer,Dimethicone,130,0.012967581047381545
Moisturizer,Sodium Hyaluronate,105,0.010473815461346634
Moisturizer,Tocopheryl Acetate,102,0.010174563591022444
Moisturizer,Caprylyl Glycol,99,0.009875311720698254
Moisturizer,Xanthan Gum,79,0.007880299251870324
Moisturizer,Ethylhexylglycerin,75,0.007481296758104738
Moisturizer,Tocopherol,75,0.007481296758104738
Moisturizer,Citric Acid,74,0.007381546134663341
Moisturizer,Glyceryl Stearate,71,0.007082294264339152
Moisturizer,Caprylic/Capric Triglyceride,70,0.006982543640897756
Moisturizer,Carbomer,68,0.0067830423940149626
Moisturizer,Limonene,68,0.0067830423940149626
Moisturizer,Disodium Edta,63,0.00628428927680798
Moisturizer,Linalool,62,0.006184538653366584
Moisturizer,Propanediol,59,0.005885286783042394
Moisturizer,Fragrance,58,0.005785536159600997
Moisturizer,Sodium Hydroxide,56,0.005586034912718204
Moisturizer,Squalane,54,0.005386533665835412
Moisturizer,Stearic Acid,54,0.005386533665835412
Moisturizer,Cetearyl Alcohol,53,0.005286783042394015
Moisturizer,Cyclopentasiloxane,51,0.005087281795511222
Moisturizer,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,49,0.004887780548628429
Moisturizer,Pentylene Glycol,49,0.004887780548628429
Moisturizer,Citronellol,48,0.004788029925187032
Moisturizer,Cetyl Alcohol,47,0.0046882793017456355
Moisturizer,Potassium Sorbate,47,0.0046882793017456355
Moisturizer,Sodium Benzoate,46,0.00458852867830424
Moisturizer,Disodium EDTA,45,0.004488778054862843
Moisturizer,Silica,45,0.004488778054862843
Moisturizer,Caffeine,42,0.004189526184538653
Moisturizer,Geraniol,42,0.004189526184538653
Moisturizer,Trehalose,42,0.004189526184538653
Moisturizer,Alcohol,38,0.0037905236907730673
Moisturizer,Camellia Sinensis Leaf Extract,36,0.0035910224438902745
Moisturizer,Behenyl Alcohol,35,0.003491271820448878
Moisturizer,Panthenol,35,0.003491271820448878
Moisturizer,Chlorphenesin,34,0.0033915211970074813
Moisturizer,Peg-100 Stearate,33,0.0032917705735660847
Moisturizer,Sodium Citrate,33,0.0032917705735660847
Moisturizer,1,32,0.0031920199501246885
Moisturizer,Hexylene Glycol,32,0.0031920199501246885
Moisturizer,Lecithin,32,0.0031920199501246885
Moisturizer,2-Hexanediol,31,0.003092269326683292
Moisturizer,Niacinamide,30,0.0029925187032418953
Moisturizer,Tromethamine,30,0.0029925187032418953
Moisturizer,Citral,28,0.002793017456359102
