skin_type,ingredients,count,share
Normal,Water,690,0.022327929327249783
Normal,Glycerin,671,0.021713102287803772
Normal,Phenoxyethanol,520,0.016826845290101283
Normal,Butylene Glycol,502,0.016244377568520856
Normal,Caprylyl Glycol,306,0.009901951266867295
Normal,Ethylhexylglycerin,293,0.009481280134614762
Normal,Xanthan Gum,289,0.009351842863152444
Normal,Sodium Hyaluronate,288,0.009319483545286866
Normal,Dimethicone,275,0.008898812413034333
Normal,Citric Acid,242,0.007830954923470213
Normal,Tocopheryl Acetate,233,0.0075397210626799984
Normal,Tocopherol,226,0.007313205837620943
Normal,Caprylic/Capric Triglyceride,214,0.00692489402323399
Normal,Potassium Sorbate,207,0.006698378798174935
Normal,Carbomer,199,0.0064395042552503
Normal,Propanediol,191,0.006180629712325665
Normal,Sodium Hydroxide,189,0.006115911076594505
Normal,Disodium EDTA,182,0.005889395851535449
Normal,Sodium Benzoate,181,0.00585703653366987
Normal,Fragrance,173,0.005598161990745235
Normal,1,171,0.005533443355014076
Normal,Limonene,168,0.005436365401417338
Normal,Disodium Edta,166,0.005371646765686179
Normal,2-Hexanediol,160,0.005177490858492703
Normal,Linalool,155,0.005015694269164806
Normal,Silica,153,0.004950975633433647
Normal,Pentylene Glycol,151,0.004886256997702489
Normal,Polysorbate 20,151,0.004886256997702489
Normal,Glyceryl Stearate,148,0.0047891790441057505
Normal,Squalane,145,0.004692101090509012
Normal,Cetearyl Alcohol,138,0.004465585865449957
Normal,Cyclopentasiloxane,131,0.0042390706403909
Normal,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,128,0.004141992686794162
Normal,Camellia Sinensis Leaf Extract,126,0.004077274051063003
Normal,Lecithin,126,0.004077274051063003
Normal,Panthenol,121,0.003915477461735106
Normal,Caffeine,120,0.003883118143869527
Normal,Alcohol,112,0.003624243600944892
Normal,Stearic Acid,109,0.003527165647348154
Normal,Chlorphenesin,107,0.003462447011616995
Normal,Niacinamide,106,0.0034300876937514158
Normal,Allantoin,105,0.0033977283758858364
Normal,Hexylene Glycol,97,0.0031388538329612014
Normal,Citronellol,97,0.0031388538329612014
Normal,Betaine,94,0.003041775879364463
Normal,Sodium Citrate,94,0.003041775879364463
Normal,Mica,92,0.002977057243633304
Normal,Geraniol,87,0.002815260654305407
Normal,Adenosine,84,0.002718182700708669
Normal,Sodium Chloride,83,0.0026858233828430896
