skin_type,ingredients,count,share
Oily,Water,646,0.022407991952547782
Oily,Glycerin,627,0.021748933365708142
Oily,Phenoxyethanol,501,0.01737833431614
Oily,Butylene Glycol,479,0.016615213847167784
Oily,Caprylyl Glycol,293,0.010163377154948142
Oily,Ethylhexylglycerin,274,0.009504318568108502
Oily,Xanthan Gum,274,0.009504318568108502
Oily,Sodium Hyaluronate,269,0.009330882097887544
Oily,Dimethicone,249,0.008637136217003712
Oily,Citric Acid,230,0.00797807763016407
Oily,Tocopheryl Acetate,221,0.007665891983766346
Oily,Tocopherol,208,0.007214957161191855
Oily,Potassium Sorbate,201,0.006972146102882514
Oily,Caprylic/Capric Triglyceride,185,0.006417149398175448
Oily,Sodium Hydroxide,183,0.006347774810087065
Oily,Carbomer,179,0.006209025633910298
Oily,Sodium Benzoate,176,0.006104963751777724
Oily,Propanediol,175,0.006070276457733532
Oily,Disodium EDTA,166,0.005758090811335808
Oily,Limonene,159,0.005515279753026466
Oily,Disodium Edta,158,0.005480592458982275
Oily,1,156,0.005411217870893891
Oily,Fragrance,155,0.0053765305768497
Oily,Linalool,147,0.005099032224496167
Oily,Silica,146,0.005064344930451975
Oily,2-Hexanediol,145,0.005029657636407784
Oily,Polysorbate 20,144,0.004994970342363592
Oily,Pentylene Glycol,140,0.0048562211661868256
Oily,Glyceryl Stearate,132,0.004578722813833293
Oily,Squalane,128,0.004439973637656526
Oily,Lecithin,122,0.004231849873391377
Oily,Caffeine,121,0.004197162579347185
Oily,Cetearyl Alcohol,120,0.004162475285302994
Oily,Camellia Sinensis Leaf Extract,115,0.003989038815082035
Oily,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,114,0.003954351521037844
Oily,Cyclopentasiloxane,112,0.003884976932949461
Oily,Panthenol,107,0.0037115404627285024
Oily,Hexylene Glycol,102,0.0035381039925075444
Oily,Stearic Acid,102,0.0035381039925075444
Oily,Chlorphenesin,101,0.0035034166984633528
Oily,Allantoin,101,0.0035034166984633528
Oily,Alcohol,100,0.003468729404419161
Oily,Niacinamide,99,0.0034340421103749696
Oily,Citronellol,90,0.003121856463977245
Oily,Sodium Citrate,89,0.0030871691699330536
Oily,Betaine,89,0.0030871691699330536
Oily,Mica,88,0.003052481875888862
Oily,Geraniol,82,0.0028443581116237124
Oily,Sodium Chloride,81,0.002809670817579521
Oily,Lactic Acid,78,0.0027056089354469456
