skin_type,ingredients,count,share
Sensitive,Water,548,0.02259607455055253
Sensitive,Glycerin,522,0.021523998020781792
Sensitive,Butylene Glycol,398,0.01641101764802903
Sensitive,Phenoxyethanol,397,0.01636978393534554
Sensitive,Caprylyl Glycol,242,0.009978558469404585
Sensitive,Sodium Hyaluronate,224,0.009236351641101764
Sensitive,Ethylhexylglycerin,221,0.009112650503051295
Sensitive,Dimethicone,216,0.008906481939633844
Sensitive,Xanthan Gum,212,0.008741547088899885
Sensitive,Citric Acid,190,0.007834405409863104
Sensitive,Tocopherol,180,0.007422068283028204
Sensitive,Tocopheryl Acetate,174,0.007174666006927264
Sensitive,Potassium Sorbate,169,0.006968497443509814
Sensitive,Caprylic/Capric Triglyceride,168,0.006927263730826323
Sensitive,Carbomer,155,0.006391225465940954
Sensitive,Sodium Benzoate,148,0.006102589477156523
Sensitive,Propanediol,147,0.0060613557644730335
Sensitive,Disodium EDTA,144,0.005937654626422563
Sensitive,1,144,0.005937654626422563
Sensitive,Sodium Hydroxide,140,0.005772719775688603
Sensitive,2-Hexanediol,134,0.005525317499587663
Sensitive,Polysorbate 20,123,0.005071746660069273
Sensitive,Pentylene Glycol,120,0.004948045522018802
Sensitive,Squalane,119,0.004906811809335313
Sensitive,Disodium Edta,118,0.004865578096651823
Sensitive,Silica,118,0.004865578096651823
Sensitive,Limonene,115,0.004741876958601353
Sensitive,Fragrance,115,0.004741876958601353
Sensitive,Cyclopentasiloxane,104,0.004288306119082963
Sensitive,Glyceryl Stearate,104,0.004288306119082963
Sensitive,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,103,0.004247072406399472
Sensitive,Camellia Sinensis Leaf Extract,102,0.004205838693715982
Sensitive,Linalool,101,0.004164604981032492
Sensitive,Cetearyl Alcohol,101,0.004164604981032492
Sensitive,Panthenol,97,0.003999670130298532
Sensitive,Caffeine,97,0.003999670130298532
Sensitive,Niacinamide,91,0.003752267854197592
Sensitive,Lecithin,90,0.003711034141514102
Sensitive,Alcohol,88,0.003628566716147122
Sensitive,Stearic Acid,86,0.0035460992907801418
Sensitive,Allantoin,85,0.003504865578096652
Sensitive,Sodium Citrate,79,0.003257463301995712
Sensitive,Citronellol,77,0.0031749958766287317
Sensitive,Chlorphenesin,76,0.0031337621639452415
Sensitive,Mica,73,0.0030100610258947716
Sensitive,Betaine,70,0.0028863598878443014
Sensitive,Sodium Chloride,69,0.0028451261751608115
Sensitive,Hexylene Glycol,69,0.0028451261751608115
Sensitive,Adenosine,68,0.0028038924624773213
Sensitive,Dipropylene Glycol,66,0.0027214250371103412
