skin_type,ingredients,count,share
Combination,Water,698,0.022455282460429802
Combination,Glycerin,676,0.02174752284133316
Combination,Phenoxyethanol,533,0.017147085317204994
Combination,Butylene Glycol,512,0.016471496589885472
Combination,Caprylyl Glycol,309,0.009940805559130099
Combination,Ethylhexylglycerin,299,0.009619096641358899
Combination,Sodium Hyaluronate,294,0.009458242182473299
Combination,Xanthan Gum,291,0.009361729507141939
Combination,Dimethicone,273,0.008782653455153777
Combination,Citric Acid,241,0.007753184918285935
Combination,Tocopheryl Acetate,237,0.007624501351177455
Combination,Tocopherol,223,0.007174108866297774
Combination,Caprylic/Capric Triglyceride,213,0.006852399948526573
Combination,Potassium Sorbate,211,0.006788058164972333
Combination,Carbomer,197,0.0063376656800926525
Combination,Sodium Hydroxide,193,0.0062089821129841715
Combination,Propanediol,191,0.006144640329429932
Combination,Disodium EDTA,184,0.005919444086990092
Combination,Sodium Benzoate,184,0.005919444086990092
Combination,Fragrance,171,0.005501222493887531
Combination,Disodium Edta,169,0.00543688071033329
Combination,1,169,0.00543688071033329
Combination,Limonene,165,0.00530819714322481
Combination,2-Hexanediol,158,0.00508300090078497
Combination,Silica,158,0.00508300090078497
Combination,Polysorbate 20,153,0.004922146441899369
Combination,Linalool,153,0.004922146441899369
Combination,Pentylene Glycol,152,0.004889975550122249
Combination,Glyceryl Stearate,150,0.004825633766568009
Combination,Squalane,142,0.004568266632351049
Combination,Cetearyl Alcohol,135,0.0043430703899112084
Combination,Cyclopentasiloxane,133,0.004278728606356968
Combination,Lecithin,128,0.004117874147471368
Combination,Camellia Sinensis Leaf Extract,127,0.0040857032556942475
Combination,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,124,0.003989190580362888
Combination,Caffeine,124,0.003989190580362888
Combination,Panthenol,121,0.0038926779050315274
Combination,Alcohol,115,0.0036996525543688073
Combination,Stearic Acid,111,0.0035709689872603268
Combination,Allantoin,107,0.0034422854201518467
Combination,Chlorphenesin,107,0.0034422854201518467
Combination,Niacinamide,104,0.0033457727448204864
